track,cell,n_clients,n_seeds,xseed_(b)oracle,fid_(b)oracle,xseed_Banzhaf,fid_Banzhaf,xseed_ComFedSV,fid_ComFedSV,xseed_FedIF,fid_FedIF,xseed_FedSV,fid_FedSV,xseed_Flirds,fid_Flirds,xseed_Flirds1st,fid_Flirds1st,xseed_GTG,fid_GTG,xseed_Ripple,fid_Ripple,xseed_ShapleyFL,fid_ShapleyFL,xseed_a,fid_a,xseed_loss-heur,fid_loss-heur,xseed_Fed-LOO,fid_Fed-LOO,xseed_(a)oracle,fid_(a)oracle
CNN N=10 full,cifar10_dir1_clean,10,3,0.204040404040404,0.9999999999999999,0.204040404040404,0.9999999999999999,0.1717171717171717,0.5151515151515151,0.058585858585858595,0.7535353535353536,0.1919191919191919,0.7131313131313131,0.13939393939393935,0.9919191919191919,0.010101010101010074,0.9313131313131313,0.41010101010101,0.7494949494949493,-0.058585858585858575,0.32525252525252524,0.301010101010101,0.6606060606060605,0.34545454545454546,-0.515151515151515,0.17979797979797976,0.9555555555555554,,,,
CNN N=10 full,cifar10_dir1_free-rider,10,3,0.2333333333333333,1.0,0.2333333333333333,1.0,0.4909090909090908,0.2063507818286384,-0.14301075268817204,0.7677419354838712,-0.046464646464646465,0.037518323968843345,0.2333333333333333,1.0,0.2655913978494624,0.9870967741935482,0.1272727272727273,0.4585572929525297,,,0.06344086021505378,-0.32903225806451614,0.19595959595959592,-0.8483309919621801,0.3279569892473118,0.9870967741935482,,,,
CNN N=10 full,cifar10_dir1_grad-noise,10,3,0.2404040404040404,0.9999999999999999,0.22020202020202018,0.9959595959595958,0.36565656565656557,0.6040404040404039,0.20404040404040402,0.6525252525252525,0.1757575757575757,0.8222222222222221,0.1757575757575757,0.915151515151515,-0.07070707070707069,-0.18787878787878787,0.5313131313131313,0.8707070707070707,,,0.3090909090909091,0.8303030303030302,0.2565656565656565,-0.9474747474747475,0.2767676767676767,0.9515151515151515,,,,
CNN N=10 full,cifar10_dir1_label-flip_fr0.70,10,3,0.28888888888888886,0.9999999999999999,0.28888888888888886,0.9999999999999999,0.4101010101010101,0.8101010101010099,0.35353535353535354,0.7212121212121211,0.35353535353535354,0.911111111111111,0.26464646464646463,0.9959595959595959,0.3575757575757575,0.9797979797979798,0.3454545454545454,0.9191919191919191,0.18787878787878787,0.8747474747474747,0.18787878787878784,0.8585858585858585,0.3333333333333333,-0.8787878787878786,0.30101010101010095,0.9919191919191919,,,,
CNN N=10 full,cifar10_feature-noise,10,3,0.6929292929292928,0.9999999999999999,0.6929292929292928,0.9999999999999999,-0.12727272727272723,0.18787878787878787,0.4787878787878787,0.616161616161616,-0.20404040404040402,0.39797979797979793,0.6969696969696969,0.9959595959595959,0.5313131313131313,0.8949494949494948,0.04242424242424242,0.5878787878787878,0.5676767676767676,-0.010101010101010091,-0.39393939393939387,0.10303030303030304,,,0.5111111111111111,0.9030303030303028,,,,
CNN N=10 full,cifar10_iid,10,3,-0.04242424242424242,0.9999999999999999,-0.10707070707070705,0.9838383838383837,-0.09494949494949494,0.11515151515151516,0.5232323232323232,0.45454545454545453,-0.030303030303030314,0.21616161616161614,-0.01414141414141414,0.9515151515151513,0.2808080808080808,0.5353535353535354,-0.0707070707070707,0.208080808080808,0.13535353535353534,0.305050505050505,0.054545454545454536,0.14343434343434341,,,0.24040404040404037,0.6888888888888888,,,,
CNN N=10 full,cifar10_iid_clean,10,3,-0.04242424242424242,0.9999999999999999,-0.10707070707070705,0.9838383838383837,-0.09494949494949494,0.11515151515151516,0.5232323232323232,0.45454545454545453,-0.030303030303030314,0.21616161616161614,-0.01414141414141414,0.9515151515151513,0.2808080808080808,0.5353535353535354,-0.0707070707070707,0.208080808080808,0.13535353535353534,0.305050505050505,0.054545454545454536,0.14343434343434341,0.23232323232323235,0.2727272727272727,0.24040404040404037,0.6888888888888888,,,,
CNN N=10 full,cifar10_iid_free-rider,10,3,0.23978494623655913,1.0,0.23978494623655913,1.0,0.0222222222222222,0.5815340215170718,0.24623655913978496,0.8838709677419354,0.5797979797979796,0.4731477522737466,0.2956989247311828,0.978494623655914,0.22688172043010754,0.9010752688172045,0.3252525252525252,0.8191500733197463,,,0.04193548387096776,-0.7376344086021506,0.18495934959349594,-0.6251182246781184,0.21827956989247313,0.9311827956989248,,,,
CNN N=10 full,cifar10_iid_grad-noise,10,3,0.08282828282828282,0.9999999999999999,0.09494949494949494,0.9919191919191919,0.30101010101010095,0.4787878787878787,0.06666666666666665,0.8585858585858585,0.03434343434343432,0.7616161616161615,0.16767676767676765,0.9676767676767675,-0.054545454545454536,0.13939393939393938,0.43434343434343425,0.6848484848484847,,,0.15151515151515146,0.8828282828282829,0.32929292929292925,-0.6525252525252525,0.01414141414141414,0.9313131313131313,,,,
CNN N=10 full,cifar10_iid_label-flip_fr0.70,10,3,0.12727272727272726,0.9999999999999999,0.12727272727272726,0.9959595959595959,0.24040404040404043,0.7252525252525251,0.22828282828282828,0.9313131313131313,0.47878787878787876,0.7131313131313131,0.12727272727272726,0.9959595959595959,0.16363636363636364,0.9515151515151515,0.41818181818181815,0.7454545454545453,0.4141414141414141,0.6565656565656565,0.3454545454545454,0.8424242424242423,0.3656565656565656,-0.7050505050505049,0.08686868686868687,0.9595959595959594,,,,
CNN N=10 full,cifar10_label-flip,10,3,0.9676767676767676,0.9999999999999999,0.9676767676767676,0.9999999999999999,-0.0505050505050505,0.3131313131313131,0.5676767676767677,0.7414141414141414,0.305050505050505,0.5434343434343434,0.9555555555555554,0.9959595959595959,0.8989898989898989,0.9515151515151515,0.40202020202020194,0.6444444444444443,0.2969696969696969,0.3171717171717171,0.10303030303030303,0.1919191919191919,,,0.8868686868686867,0.9474747474747475,,,,
CNN N=10 full,cifar10_label-skew,10,3,0.5111111111111111,0.9999999999999999,0.5111111111111111,0.9999999999999999,-0.07474747474747473,0.305050505050505,-0.026262626262626265,0.6808080808080806,-0.010101010101010091,0.5313131313131313,0.49494949494949486,0.9838383838383837,0.41010101010101,0.915151515151515,0.19999999999999996,0.48686868686868684,0.9434343434343434,0.25656565656565655,0.054545454545454536,0.204040404040404,,,0.21616161616161614,0.8787878787878788,,,,
CNN N=10 full,cifar10_quantity-skew,10,3,0.9676767676767676,0.9999999999999999,0.9676767676767676,0.9999999999999999,0.8464646464646465,0.6727272727272727,-0.010101010101010097,-0.19595959595959597,0.8949494949494948,0.5595959595959595,0.9676767676767676,0.9919191919191919,0.9272727272727272,0.9595959595959594,0.9757575757575757,0.7818181818181817,0.43434343434343425,0.6848484848484847,0.7333333333333333,0.41010101010101,,,0.9393939393939394,0.9757575757575756,,,,
CNN N=10 full,mnist_dir1_clean,10,3,0.06262626262626263,0.9999999999999999,0.0787878787878788,0.9959595959595959,0.2808080808080808,0.6888888888888888,0.01414141414141414,0.21616161616161614,0.32525252525252524,0.6606060606060605,-0.03434343434343434,0.9757575757575756,-0.0828282828282828,0.9474747474747472,0.2767676767676767,0.806060606060606,-0.05454545454545453,0.806060606060606,-0.13535353535353534,0.3696969696969697,0.1717171717171717,-0.6323232323232323,-0.0626262626262626,0.9636363636363635,,,,
CNN N=10 full,mnist_dir1_free-rider,10,3,0.22473118279569892,1.0,0.22473118279569892,1.0,0.18787878787878784,0.9191989372366619,0.4182795698924731,0.9053763440860215,0.1515151515151515,0.9525485585423005,0.22473118279569892,1.0,0.2440860215053764,0.9956989247311828,0.08282828282828282,0.9525485585423005,,,-0.25698924731182793,-0.13118279569892474,0.05454545454545456,-0.915030234573457,0.22473118279569892,1.0,,,,
CNN N=10 full,mnist_dir1_grad-noise,10,3,0.15151515151515152,0.9999999999999999,0.18383838383838383,0.9919191919191919,0.4828282828282828,0.7212121212121212,0.12323232323232323,0.6727272727272725,0.19595959595959597,0.8505050505050504,0.1919191919191919,0.9717171717171716,-0.07474747474747473,0.26868686868686864,0.32929292929292925,0.8666666666666666,,,0.26868686868686864,0.802020202020202,0.22424242424242422,-0.9030303030303028,0.23636363636363633,0.9878787878787878,,,,
CNN N=10 full,mnist_dir1_label-flip_fr0.70,10,3,0.15555555555555556,0.9999999999999999,0.11919191919191918,0.9959595959595959,0.37777777777777777,0.8424242424242423,0.32121212121212117,0.5393939393939392,0.16767676767676765,0.9636363636363635,0.15555555555555556,0.9999999999999999,0.15555555555555556,0.9999999999999999,0.0707070707070707,0.9636363636363635,0.3575757575757575,0.8141414141414139,0.22828282828282828,0.8303030303030302,0.17575757575757575,-0.9595959595959594,0.15555555555555556,0.9999999999999999,,,,
CNN N=10 full,mnist_feature-noise,10,3,-0.12323232323232325,0.9999999999999999,-0.13535353535353534,0.9515151515151515,-0.04242424242424242,0.20808080808080806,-0.3333333333333333,0.5676767676767677,0.04242424242424242,0.1313131313131313,0.09494949494949494,0.7858585858585858,-0.3454545454545454,0.6969696969696969,-0.2808080808080808,0.4141414141414141,0.11515151515151516,0.0020202020202020193,-0.2404040404040404,0.507070707070707,,,-0.2808080808080808,0.7818181818181817,,,,
CNN N=10 full,mnist_iid,10,3,-0.17171717171717168,0.9999999999999999,-0.17171717171717168,0.9757575757575756,-0.058585858585858575,0.09898989898989896,-0.3333333333333333,0.7252525252525253,0.0626262626262626,0.0424242424242424,0.002020202020202024,0.8141414141414139,-0.22828282828282823,0.7777777777777777,-0.26060606060606056,0.47474747474747464,-0.1434343434343434,0.1838383838383838,-0.19595959595959597,0.4787878787878787,,,-0.21616161616161614,0.8424242424242424,,,,
CNN N=10 full,mnist_iid_clean,10,3,-0.17171717171717168,0.9999999999999999,-0.17171717171717168,0.9757575757575756,-0.058585858585858575,0.09898989898989896,-0.3333333333333333,0.7252525252525253,0.0626262626262626,0.0424242424242424,0.002020202020202024,0.8141414141414139,-0.22828282828282823,0.7777777777777777,-0.26060606060606056,0.47474747474747464,-0.1434343434343434,0.1838383838383838,-0.19595959595959597,0.4787878787878787,-0.24848484848484845,-0.4383838383838383,-0.21616161616161614,0.8424242424242424,,,,
CNN N=10 full,mnist_iid_free-rider,10,3,0.1752688172043011,1.0,0.1752688172043011,1.0,0.18787878787878787,0.8024752626669271,0.2591397849462366,0.9010752688172042,0.26464646464646463,0.7191012094028307,0.13010752688172045,0.9655913978494625,0.0978494623655914,0.9311827956989247,0.515151515151515,0.6690767774443729,,,0.11155916317324059,0.7011909832685178,0.3434959349593496,-0.7171088664367713,0.17741935483870971,0.956989247311828,,,,
CNN N=10 full,mnist_iid_grad-noise,10,3,0.38585858585858585,0.9999999999999999,0.3737373737373737,0.9878787878787878,0.4222222222222222,0.7252525252525253,0.1636363636363636,0.8222222222222221,0.13939393939393938,0.7212121212121212,0.5111111111111111,0.903030303030303,-0.2808080808080808,0.4303030303030302,0.4343434343434343,0.7373737373737373,,,0.26464646464646463,0.7212121212121212,0.1717171717171717,-0.7535353535353533,0.10303030303030303,0.903030303030303,,,,
CNN N=10 full,mnist_iid_label-flip_fr0.70,10,3,0.1272727272727273,0.9999999999999999,0.1272727272727273,0.9999999999999999,0.3696969696969697,0.7171717171717171,0.08686868686868686,0.903030303030303,0.3090909090909091,0.6888888888888888,0.1272727272727273,0.9999999999999999,0.1232323232323232,0.9757575757575756,0.34949494949494947,0.6767676767676768,0.16767676767676767,0.7252525252525253,0.15555555555555553,0.8626262626262625,0.36565656565656557,-0.7616161616161614,0.11919191919191918,0.9717171717171716,,,,
CNN N=10 full,mnist_label-flip,10,3,0.9676767676767676,0.9999999999999999,0.9676767676767676,0.9999999999999999,0.9232323232323232,0.9515151515151515,0.9676767676767675,0.9797979797979797,0.9595959595959597,0.9676767676767676,0.9595959595959594,0.9959595959595959,0.9676767676767676,0.9919191919191919,0.9757575757575756,0.9919191919191919,0.9595959595959594,0.9717171717171715,0.9757575757575756,0.9717171717171716,,,0.9676767676767676,0.9919191919191919,,,,
CNN N=10 full,mnist_label-skew,10,3,0.4383838383838383,0.9999999999999999,0.41818181818181815,0.9838383838383837,0.1919191919191919,0.1353535353535353,0.5555555555555555,0.41010101010101013,0.24444444444444444,-0.010101010101010091,0.36161616161616156,0.7131313131313131,0.6848484848484847,0.6121212121212122,0.4787878787878787,0.3252525252525252,0.8666666666666666,0.058585858585858554,0.014141414141414134,0.002020202020202033,,,0.5555555555555555,0.6323232323232323,,,,
CNN N=10 full,mnist_quantity-skew,10,3,0.9676767676767676,0.9999999999999999,0.9676767676767676,0.9959595959595959,0.46262626262626255,0.4909090909090909,0.04242424242424242,-0.07474747474747474,0.6282828282828282,0.6282828282828282,0.9515151515151515,0.9636363636363635,0.9757575757575756,0.9797979797979798,0.6525252525252525,0.7777777777777777,0.9676767676767675,0.9636363636363635,0.038383838383838374,0.5151515151515151,,,0.9232323232323232,0.9595959595959597,,,,
