cell,stage,threat,method,crossseed_rho_mean,n_pairs
1B_iid5_clean,iid5,clean,(b)oracle,0.13333333333333333,3
1B_iid5_clean,iid5,clean,Flirds,0.13333333333333333,3
1B_iid5_clean,iid5,clean,Flirds1st,0.13333333333333333,3
1B_iid5_clean,iid5,clean,FedIF,0.0,3
1B_iid5_clean,iid5,clean,GTG,0.13333333333333333,3
1B_iid5_clean,iid5,clean,FedSV,0.033333333333333326,3
1B_iid5_clean,iid5,clean,ShapleyFL,0.16666666666666666,3
1B_iid5_clean,iid5,clean,Banzhaf,0.13333333333333333,3
1B_iid5_clean,iid5,clean,loss-heur,0.13333333333333333,3
1B_iid5_clean,iid5,clean,FLDetector,0.13333333333333333,3
1B_iid5_clean,iid5,clean,STD-DAGMM,-0.09999999999999998,3
1B_iid5_clean,iid5,clean,FLTrust,0.0,3
1B_iid5_clean,iid5,clean,FedDQC,0.39999999999999997,3
1B_iid5_noisy,iid5,noisy,(b)oracle,0.6,3
1B_iid5_noisy,iid5,noisy,Flirds,0.6,3
1B_iid5_noisy,iid5,noisy,Flirds1st,0.6,3
1B_iid5_noisy,iid5,noisy,FedIF,0.4666666666666666,3
1B_iid5_noisy,iid5,noisy,GTG,0.6,3
1B_iid5_noisy,iid5,noisy,FedSV,0.5333333333333333,3
1B_iid5_noisy,iid5,noisy,ShapleyFL,0.6,3
1B_iid5_noisy,iid5,noisy,Banzhaf,0.6,3
1B_iid5_noisy,iid5,noisy,loss-heur,0.6,3
1B_iid5_noisy,iid5,noisy,FLDetector,0.6,3
1B_iid5_noisy,iid5,noisy,STD-DAGMM,0.26666666666666666,3
1B_iid5_noisy,iid5,noisy,FLTrust,0.4666666666666666,3
1B_iid5_noisy,iid5,noisy,FedDQC,0.7999999999999999,3
1B_iid5_frrand,iid5,freerider_random,(b)oracle,0.7999999999999999,3
1B_iid5_frrand,iid5,freerider_random,Flirds,0.7999999999999999,3
1B_iid5_frrand,iid5,freerider_random,Flirds1st,0.7999999999999999,3
1B_iid5_frrand,iid5,freerider_random,FedIF,0.6,3
1B_iid5_frrand,iid5,freerider_random,GTG,0.7999999999999999,3
1B_iid5_frrand,iid5,freerider_random,FedSV,0.6,3
1B_iid5_frrand,iid5,freerider_random,ShapleyFL,0.7333333333333333,3
1B_iid5_frrand,iid5,freerider_random,Banzhaf,0.7999999999999999,3
1B_iid5_frrand,iid5,freerider_random,loss-heur,0.7999999999999999,3
1B_iid5_frrand,iid5,freerider_random,FLDetector,0.5666666666666667,3
1B_iid5_frrand,iid5,freerider_random,STD-DAGMM,-0.09999999999999999,3
1B_iid5_frrand,iid5,freerider_random,FLTrust,0.6,3
1B_iid5_frrand,iid5,freerider_random,FedDQC,0.39999999999999997,3
1B_iid5_frzero,iid5,freerider_zero,(b)oracle,0.6999999999999998,3
1B_iid5_frzero,iid5,freerider_zero,Flirds,0.6999999999999998,3
1B_iid5_frzero,iid5,freerider_zero,Flirds1st,0.6999999999999998,3
1B_iid5_frzero,iid5,freerider_zero,FedIF,0.6,3
1B_iid5_frzero,iid5,freerider_zero,GTG,0.6999999999999998,3
1B_iid5_frzero,iid5,freerider_zero,FedSV,0.3,3
1B_iid5_frzero,iid5,freerider_zero,ShapleyFL,0.7333333333333333,3
1B_iid5_frzero,iid5,freerider_zero,Banzhaf,0.6999999999999998,3
1B_iid5_frzero,iid5,freerider_zero,loss-heur,0.6999999999999998,3
1B_iid5_frzero,iid5,freerider_zero,FLDetector,0.3,3
1B_iid5_frzero,iid5,freerider_zero,STD-DAGMM,0.5666666666666667,3
1B_iid5_frzero,iid5,freerider_zero,FLTrust,0.6,3
1B_iid5_frzero,iid5,freerider_zero,FedDQC,0.39999999999999997,3
1B_iid5_poison,iid5,poison,(b)oracle,0.7333333333333333,3
1B_iid5_poison,iid5,poison,Flirds,0.7333333333333333,3
1B_iid5_poison,iid5,poison,Flirds1st,0.7333333333333333,3
1B_iid5_poison,iid5,poison,FedIF,0.6,3
1B_iid5_poison,iid5,poison,GTG,0.43333333333333335,3
1B_iid5_poison,iid5,poison,FedSV,0.5333333333333333,3
1B_iid5_poison,iid5,poison,ShapleyFL,0.6,3
1B_iid5_poison,iid5,poison,Banzhaf,0.7333333333333333,3
1B_iid5_poison,iid5,poison,loss-heur,0.7333333333333333,3
1B_iid5_poison,iid5,poison,FLDetector,0.7999999999999998,3
1B_iid5_poison,iid5,poison,STD-DAGMM,-0.39999999999999997,3
1B_iid5_poison,iid5,poison,FLTrust,0.6,3
1B_iid5_poison,iid5,poison,FedDQC,0.6,3
1B_silo5_clean,silo5,clean,(b)oracle,0.8666666666666666,3
1B_silo5_clean,silo5,clean,Flirds,0.8666666666666666,3
1B_silo5_clean,silo5,clean,Flirds1st,0.8666666666666666,3
1B_silo5_clean,silo5,clean,FedIF,0.9999999999999999,3
1B_silo5_clean,silo5,clean,GTG,0.8666666666666666,3
1B_silo5_clean,silo5,clean,FedSV,0.9333333333333331,3
1B_silo5_clean,silo5,clean,ShapleyFL,0.8666666666666666,3
1B_silo5_clean,silo5,clean,Banzhaf,0.8666666666666666,3
1B_silo5_clean,silo5,clean,loss-heur,0.8666666666666666,3
1B_silo5_clean,silo5,clean,FLDetector,0.9999999999999999,3
1B_silo5_clean,silo5,clean,STD-DAGMM,0.6666666666666665,3
1B_silo5_clean,silo5,clean,FLTrust,0.9999999999999999,3
1B_silo5_clean,silo5,clean,FedDQC,0.9333333333333331,3
1B_silo5_noisy,silo5,noisy,(b)oracle,0.9333333333333331,3
1B_silo5_noisy,silo5,noisy,Flirds,0.9333333333333331,3
1B_silo5_noisy,silo5,noisy,Flirds1st,0.9333333333333331,3
1B_silo5_noisy,silo5,noisy,FedIF,0.9999999999999999,3
1B_silo5_noisy,silo5,noisy,GTG,0.9333333333333331,3
1B_silo5_noisy,silo5,noisy,FedSV,0.9333333333333331,3
1B_silo5_noisy,silo5,noisy,ShapleyFL,0.9333333333333331,3
1B_silo5_noisy,silo5,noisy,Banzhaf,0.9333333333333331,3
1B_silo5_noisy,silo5,noisy,loss-heur,0.9333333333333331,3
1B_silo5_noisy,silo5,noisy,FLDetector,0.9999999999999999,3
1B_silo5_noisy,silo5,noisy,STD-DAGMM,-0.23333333333333328,3
1B_silo5_noisy,silo5,noisy,FLTrust,0.9999999999999999,3
1B_silo5_noisy,silo5,noisy,FedDQC,0.9333333333333331,3
1B_silo5_frrand,silo5,freerider_random,(b)oracle,0.9333333333333331,3
1B_silo5_frrand,silo5,freerider_random,Flirds,0.9333333333333331,3
1B_silo5_frrand,silo5,freerider_random,Flirds1st,0.9333333333333331,3
1B_silo5_frrand,silo5,freerider_random,FedIF,0.9333333333333331,3
1B_silo5_frrand,silo5,freerider_random,GTG,0.9333333333333331,3
1B_silo5_frrand,silo5,freerider_random,FedSV,0.9999999999999999,3
1B_silo5_frrand,silo5,freerider_random,ShapleyFL,0.9333333333333331,3
1B_silo5_frrand,silo5,freerider_random,Banzhaf,0.9333333333333331,3
1B_silo5_frrand,silo5,freerider_random,loss-heur,0.9333333333333331,3
1B_silo5_frrand,silo5,freerider_random,FLDetector,0.9999999999999999,3
1B_silo5_frrand,silo5,freerider_random,STD-DAGMM,0.9333333333333331,3
1B_silo5_frrand,silo5,freerider_random,FLTrust,0.9999999999999999,3
1B_silo5_frrand,silo5,freerider_random,FedDQC,0.9333333333333331,3
1B_silo5_frzero,silo5,freerider_zero,(b)oracle,0.9999999999999999,3
1B_silo5_frzero,silo5,freerider_zero,Flirds,0.9999999999999999,3
1B_silo5_frzero,silo5,freerider_zero,Flirds1st,0.9999999999999999,3
1B_silo5_frzero,silo5,freerider_zero,FedIF,0.9333333333333331,3
1B_silo5_frzero,silo5,freerider_zero,GTG,0.9999999999999999,3
1B_silo5_frzero,silo5,freerider_zero,FedSV,0.9999999999999999,3
1B_silo5_frzero,silo5,freerider_zero,ShapleyFL,0.9999999999999999,3
1B_silo5_frzero,silo5,freerider_zero,Banzhaf,0.9999999999999999,3
1B_silo5_frzero,silo5,freerider_zero,loss-heur,0.9999999999999999,3
1B_silo5_frzero,silo5,freerider_zero,FLDetector,0.9999999999999999,3
1B_silo5_frzero,silo5,freerider_zero,STD-DAGMM,0.16666666666666666,3
1B_silo5_frzero,silo5,freerider_zero,FLTrust,0.9333333333333331,3
1B_silo5_frzero,silo5,freerider_zero,FedDQC,0.9333333333333331,3
1B_silo5_poison,silo5,poison,(b)oracle,0.9999999999999999,3
1B_silo5_poison,silo5,poison,Flirds,0.9333333333333331,3
1B_silo5_poison,silo5,poison,Flirds1st,0.9999999999999999,3
1B_silo5_poison,silo5,poison,FedIF,0.9333333333333331,3
1B_silo5_poison,silo5,poison,GTG,0.7333333333333333,3
1B_silo5_poison,silo5,poison,FedSV,0.39999999999999997,3
1B_silo5_poison,silo5,poison,ShapleyFL,0.9999999999999999,3
1B_silo5_poison,silo5,poison,Banzhaf,0.9999999999999999,3
1B_silo5_poison,silo5,poison,loss-heur,0.9999999999999999,3
1B_silo5_poison,silo5,poison,FLDetector,0.9333333333333331,3
1B_silo5_poison,silo5,poison,STD-DAGMM,-0.16666666666666663,3
1B_silo5_poison,silo5,poison,FLTrust,0.9999999999999999,3
1B_silo5_poison,silo5,poison,FedDQC,0.9999999999999999,3
