r,S,size,n_S,u_true,u_t1,u_t2,resid1,resid2,norm_dS,c_S,u_renorm
0,0,1,200,-0.00024318695068359375,-0.0002432615583529696,-0.00024268655442938325,7.460766937583685e-08,5.003962542105e-07,0.0014568264055370155,5.0,-0.0012011528015136719
0,1,1,200,-0.00033354759216308594,-0.0003342717536725104,-0.00033343217728543095,7.24161509424448e-07,1.154148776549846e-07,0.001401291442123707,5.0,-0.0016493797302246094
0,2,1,200,-0.00032806396484375,-0.0003288468287792057,-0.00032808459468469664,7.828639354556799e-07,2.0629840946639888e-08,0.001103680316942928,5.0,-0.0016241073608398438
0,3,1,200,-0.0005679130554199219,-0.0005714528961107135,-0.0005676176870110794,3.539840690791607e-06,2.9536840884247795e-07,0.0017448652268690248,5.0,-0.0027620792388916016
0,4,1,200,-0.00023293495178222656,-0.000233255181228742,-0.00023274103483572617,3.2022944651544094e-07,1.9391694650039426e-07,0.0010832109378913777,5.0,-0.0011527538299560547
0,0+1,2,400,-0.000576019287109375,-0.00057753331202548,-0.0005760771066967152,1.5140249161049724e-06,5.781958734019099e-08,0.0021213059713468645,2.5,-0.001434326171875
0,0+2,2,400,-0.0005700588226318359,-0.0005721083871321753,-0.0005704016121939048,2.0495645003393292e-06,3.4278956206890143e-07,0.0020804965868295344,2.5,-0.0014185905456542969
0,0+3,2,400,-0.0008103847503662109,-0.0008147144544636831,-0.0008103141925888124,4.329704097472131e-06,7.055777739850555e-08,0.002335843040739382,2.5,-0.0020084381103515625
0,0+4,2,400,-0.0004749298095703125,-0.0004765167395817116,-0.0004752976666893005,1.5869300113990903e-06,3.678571189880131e-07,0.0019983059145459977,2.5,-0.0011830329895019531
0,1+2,2,400,-0.000659942626953125,-0.0006631185824517161,-0.0006601374256547388,3.1759554985910654e-06,1.9479870161376311e-07,0.0021931534803889714,2.5,-0.001638174057006836
0,1+3,2,400,-0.0009002685546875,-0.0009057246497832239,-0.0009006420461616926,5.456095095723867e-06,3.734914741926332e-07,0.0023700284120306823,2.5,-0.0022318363189697266
0,1+4,2,400,-0.0005650520324707031,-0.0005675269349012524,-0.0005650941332078219,2.474902430549264e-06,4.210073711874429e-08,0.002091416853812399,2.5,-0.0014028549194335938
0,2+3,2,400,-0.0008945465087890625,-0.0009002997248899192,-0.000895027132571613,5.753216100856662e-06,4.806237825505377e-07,0.002220146524423107,2.5,-0.002216815948486328
0,2+4,2,400,-0.0005598068237304688,-0.0005621020100079477,-0.0005597989200509801,2.2951862774789333e-06,7.903679488663329e-09,0.0018579688040234067,2.5,-0.0013899803161621094
0,3+4,2,400,-0.0007996559143066406,-0.0008047080773394555,-0.0008000400641350325,5.05216303281486e-06,3.841498283918554e-07,0.0021686041254711666,2.5,-0.0019817352294921875
0,0+1+2,3,600,-0.0009021759033203125,-0.0009063801408046857,-0.000902412818145848,4.204237484373152e-06,2.369148255354503e-07,0.002886911175768521,1.6666666666666667,-0.0014984607696533203
0,0+1+3,3,600,-0.0011432170867919922,-0.0011489862081361935,-0.0011432969267213267,5.769121344201267e-06,7.983992933446871e-08,0.002905618844118996,1.6666666666666667,-0.0018982887268066406
0,0+1+4,3,600,-0.0008070468902587891,-0.000810788493254222,-0.0008076091400432972,3.7416029954329133e-06,5.622497845081398e-07,0.002758239146808227,1.6666666666666667,-0.0013418197631835938
0,0+2+3,3,600,-0.0011370182037353516,-0.0011435612832428887,-0.001137354101229171,6.543079507537186e-06,3.358974938194592e-07,0.0028859437400743124,1.6666666666666667,-0.0018880367279052734
0,0+2+4,3,600,-0.0008018016815185547,-0.0008053635683609173,-0.0008019860149843794,3.5618868423625827e-06,1.8433346582469312e-07,0.0026944278240098336,1.6666666666666667,-0.0013320446014404297
0,0+3+4,3,600,-0.0010426044464111328,-0.001047969635692425,-0.0010426066471369566,5.36518928129226e-06,2.200725823797711e-09,0.002794993617222868,1.6666666666666667,-0.0017309188842773438
0,1+2+3,3,600,-0.001226186752319336,-0.0012345714785624295,-0.0012266721454068374,8.38472624309361e-06,4.853930875015067e-07,0.0030215434540264126,1.6666666666666667,-0.002034902572631836
0,1+2+4,3,600,-0.0008904933929443359,-0.0008963737636804581,-0.000890772672107687,5.880370736122131e-06,2.7927916335102054e-07,0.0028776589161909165,1.6666666666666667,-0.0014774799346923828
0,1+3+4,3,600,-0.0011317729949951172,-0.0011389798310119659,-0.0011319853443723105,7.206836016848683e-06,2.1234937719327718e-07,0.002917599129692159,1.6666666666666667,-0.0018782615661621094
0,2+3+4,3,600,-0.0011260509490966797,-0.0011335549061186612,-0.0011264228002261234,7.503957021981478e-06,3.718511294437121e-07,0.00276548941088757,1.6666666666666667,-0.0018684864044189453
0,0+1+2+3,4,800,-0.0014684200286865234,-0.0014778330369153991,-0.0014689574890462964,9.413008228875697e-06,5.374603597729788e-07,0.003597683097212538,1.25,-0.001832723617553711
0,0+1+2+4,4,800,-0.0011324882507324219,-0.0011396353220334277,-0.0011329181420229872,7.147071301005781e-06,4.298912905653651e-07,0.0035359287609396353,1.25,-0.001413583755493164
