campaign,category,cell,threat,alpha,scale,ref,method,kind,n_seeds,spearman_mean,spearman_min,spearman_max,pearson_mean,auroc_mean,runtime_median
July,01_silo5,1B_silo5_frrand,freerider_random,,1B,(b)oracle,(b)oracle,val,3,,,,,1.0,537.7349455599906
July,01_silo5,1B_silo5_frrand,freerider_random,,1B,(b)oracle,Banzhaf,val,3,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999985242617,1.0,539.1380480149528
July,01_silo5,1B_silo5_frrand,freerider_random,,1B,(b)oracle,FLDetector,det,3,,,,,1.0,3.8256240650080144
July,01_silo5,1B_silo5_frrand,freerider_random,,1B,(b)oracle,FLTrust,det,3,,,,,1.0,35.68057617300656
July,01_silo5,1B_silo5_frrand,freerider_random,,1B,(b)oracle,FedDQC,det,3,,,,,0.75,22.037026540027
July,01_silo5,1B_silo5_frrand,freerider_random,,1B,(b)oracle,FedIF,val,3,0.8999999999999999,0.7999999999999999,0.9999999999999999,0.9167607942403544,1.0,35.64702545909677
July,01_silo5,1B_silo5_frrand,freerider_random,,1B,(b)oracle,FedSV,val,3,0.9333333333333331,0.8999999999999998,0.9999999999999999,0.997195955181362,1.0,533.9964374779956
July,01_silo5,1B_silo5_frrand,freerider_random,,1B,(b)oracle,Flirds,val,3,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.999999929488876,1.0,107.87816948606633
July,01_silo5,1B_silo5_frrand,freerider_random,,1B,(b)oracle,Flirds1st,val,3,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999950087386699,1.0,35.40355100494344
July,01_silo5,1B_silo5_frrand,freerider_random,,1B,(b)oracle,GTG,val,3,0.9666666666666665,0.8999999999999998,0.9999999999999999,0.9997014953591551,1.0,543.0580260079587
July,01_silo5,1B_silo5_frrand,freerider_random,,1B,(b)oracle,STD-DAGMM,det,3,,,,,1.0,1.93384898500517
July,01_silo5,1B_silo5_frrand,freerider_random,,1B,(b)oracle,ShapleyFL,val,3,0.9666666666666665,0.8999999999999998,0.9999999999999999,0.9992146125972899,1.0,536.873839005013
July,01_silo5,1B_silo5_frrand,freerider_random,,1B,(b)oracle,loss-heur,val,3,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999989938375299,1.0,166.17092961398885
July,01_silo5,1B_silo5_frzero,freerider_zero,,1B,(b)oracle,(b)oracle,val,3,,,,,1.0,538.7916802000254
