scenario,width,kfrac,n_seeds,xseed_rho_mean,oracle_phi_spread_mean
iid,0.5,0.2,3,0.022222222222222216,0.09273312111068897
iid,0.5,0.5,3,-0.022222222222222216,0.05957706921912487
iid,0.5,1.0,3,0.03434343434343434,0.014584401627058865
iid,1.0,0.2,3,0.515151515151515,0.16965341633187303
iid,1.0,0.5,3,-0.28484848484848485,0.06246167010833753
iid,1.0,1.0,3,-0.04242424242424242,0.010177598604904121
iid,2.0,0.2,3,-0.18787878787878784,0.11990483568039727
iid,2.0,0.5,3,-0.1313131313131313,0.07488323659874796
iid,2.0,1.0,3,0.03838383838383838,0.018853974547692606
iid,4.0,0.2,3,0.08282828282828282,0.14861287827218436
iid,4.0,0.5,3,-0.22828282828282823,0.07161679426732422
iid,4.0,1.0,3,0.12323232323232321,0.02000042707608946
label-flip,0.5,0.2,3,-0.14747474747474745,0.07596697584642838
label-flip,0.5,0.5,3,0.03838383838383841,0.061127614528326824
label-flip,0.5,1.0,3,0.9757575757575756,0.03476332363328772
label-flip,1.0,0.2,3,0.15959595959595957,0.11665824094794235
label-flip,1.0,0.5,3,0.09494949494949496,0.06370176868172342
label-flip,1.0,1.0,3,0.9676767676767676,0.03466052669377134
label-flip,2.0,0.2,3,-0.0505050505050505,0.11221481217544177
label-flip,2.0,0.5,3,0.11111111111111112,0.06764247325946833
label-flip,2.0,1.0,3,0.8585858585858586,0.0423770349539678
label-flip,4.0,0.2,3,0.03838383838383838,0.12518035092840352
label-flip,4.0,0.5,3,-0.04242424242424243,0.08594846734642837
label-flip,4.0,1.0,3,0.9232323232323232,0.04226425048554975
