cell,method,rho
3B_std20_seed0,Flirds,0.9954887218045112
3B_std20_seed0,Flirds1st,0.9954887218045112
3B_std20_seed0,FedIF,0.9443190368698269
3B_std20_seed0,GTG,0.9969924812030074
3B_std20_seed0,FedSV,0.9864661654135337
3B_std20_seed0,ShapleyFL,0.9984962406015038
3B_std20_seed0,ComFedSV,0.9969924812030074
3B_std20_seed0,loss-heur,0.9969924812030074
3B_std20_seed1,Flirds,1.0
3B_std20_seed1,Flirds1st,1.0
3B_std20_seed1,FedIF,0.9969924812030074
3B_std20_seed1,GTG,0.9984962406015038
3B_std20_seed1,FedSV,0.9984962406015038
3B_std20_seed1,ShapleyFL,1.0
3B_std20_seed1,ComFedSV,0.9969924812030074
3B_std20_seed1,loss-heur,1.0
3B_std20_seed2,Flirds,0.993984962406015
3B_std20_seed2,Flirds1st,0.9849624060150375
3B_std20_seed2,FedIF,0.9759398496240601
3B_std20_seed2,GTG,0.9879699248120299
3B_std20_seed2,FedSV,0.9969924812030074
3B_std20_seed2,ShapleyFL,0.993984962406015
3B_std20_seed2,ComFedSV,0.9879699248120299
3B_std20_seed2,loss-heur,0.9969924812030074
3B_anchor5_seed0,Flirds,0.9999999999999999
3B_anchor5_seed0,Flirds1st,0.9999999999999999
3B_anchor5_seed0,FedIF,0.9999999999999999
3B_anchor5_seed0,GTG,0.9999999999999999
3B_anchor5_seed0,FedSV,0.9999999999999999
3B_anchor5_seed0,ShapleyFL,0.9999999999999999
3B_anchor5_seed0,ComFedSV,0.9999999999999999
3B_anchor5_seed0,loss-heur,0.9999999999999999
3B_anchor5_seed1,Flirds,0.9999999999999999
3B_anchor5_seed1,Flirds1st,0.8999999999999998
3B_anchor5_seed1,FedIF,0.9999999999999999
3B_anchor5_seed1,GTG,0.9999999999999999
3B_anchor5_seed1,FedSV,0.9999999999999999
3B_anchor5_seed1,ShapleyFL,0.8999999999999998
3B_anchor5_seed1,ComFedSV,0.9999999999999999
3B_anchor5_seed1,loss-heur,0.8999999999999998
3B_anchor5_seed2,Flirds,0.8999999999999998
3B_anchor5_seed2,Flirds1st,0.8999999999999998
3B_anchor5_seed2,FedIF,0.9999999999999999
3B_anchor5_seed2,GTG,0.8999999999999998
3B_anchor5_seed2,FedSV,0.9999999999999999
3B_anchor5_seed2,ShapleyFL,0.9999999999999999
3B_anchor5_seed2,ComFedSV,0.9999999999999999
3B_anchor5_seed2,loss-heur,0.8999999999999998
