group,cell,sha,dirty,era
track_d 1B/3B/7B,1B_anchor5_seed0,39a0a973a,True,beta0.5-era
track_d 1B/3B/7B,1B_anchor5_seed1,39a0a973a,True,beta0.5-era
track_d 1B/3B/7B,1B_anchor5_seed2,39a0a973a,True,beta0.5-era
track_d 1B/3B/7B,1B_std20_seed0,39a0a973a,True,beta0.5-era
track_d 1B/3B/7B,1B_std20_seed1,39a0a973a,True,beta0.5-era
track_d 1B/3B/7B,1B_std20_seed2,39a0a973a,True,beta0.5-era
track_d 1B/3B/7B,3B_anchor5_seed0,3f6250e2e,True,beta0.3-era
track_d 1B/3B/7B,3B_anchor5_seed1,3f6250e2e,True,beta0.3-era
track_d 1B/3B/7B,3B_anchor5_seed2,3f6250e2e,True,beta0.3-era
track_d 1B/3B/7B,3B_std20_seed0,1c02fcd0a,True,beta0.3-era
track_d 1B/3B/7B,3B_std20_seed1,1c02fcd0a,True,beta0.3-era
track_d 1B/3B/7B,3B_std20_seed2,1c02fcd0a,True,beta0.3-era
track_d 1B/3B/7B,7B_anchor5_seed0,f67742718,True,beta0.3-era
track_d 1B/3B/7B,7B_anchor5_seed1,f67742718,True,beta0.3-era
track_d 1B/3B/7B,7B_anchor5_seed2,abbed6eca,True,beta0.3-era
track_d 1B/3B/7B,7B_std20_seed0,a5f58932f,True,beta0.5-era
track_d 1B/3B/7B,7B_std20_seed1,a5f58932f,True,beta0.5-era
track_d 1B/3B/7B,7B_std20_seed2,a5f58932f,True,beta0.5-era
phase2 June grid,1B_device100-a0.01_frrand,2aeed0ac4,False,beta0.5-era
phase2 June grid,1B_device100-a0.01_frzero,2aeed0ac4,True,beta0.5-era
phase2 June grid,1B_device100-a0.01_noisy,8bca1d20a,False,beta0.5-era
phase2 June grid,1B_device100-a0.0_frrand,eff3d06bf,False,beta0.5-era
phase2 June grid,1B_device100-a0.0_frzero,eff3d06bf,False,beta0.5-era
phase2 June grid,1B_device100-a0.0_noisy,eff3d06bf,False,beta0.5-era
phase2 June grid,1B_device100-a0.0_poison,8d364cc3a,True,beta0.5-era
phase2 June grid,1B_device100-a0.1_frrand,8bca1d20a,False,beta0.5-era
phase2 June grid,1B_device100-a0.1_frzero,8bca1d20a,False,beta0.5-era
phase2 June grid,1B_device100-a0.1_noisy,8bca1d20a,False,beta0.5-era
phase2 June grid,1B_device100-a0.5_frrand_anchor,17db38b8d,True,beta0.5-era
