cell,dataset,partition,threat,seed,mode,final_acc,traj_time,t_a,n_retrains,n_clients,n_corrupt,corrupt_ids,ripple_skipped,has_phi_a
cifar10_dir1_clean_seed0,cifar10,dir1,clean,0,full,0.635875,106.18043716903776,47873.15389090404,1024,10,0,[],False,True
cifar10_dir1_clean_seed1,cifar10,dir1,clean,1,full,0.639375,101.59583357186057,45301.855456988094,1024,10,0,[],False,True
cifar10_dir1_clean_seed2,cifar10,dir1,clean,2,full,0.63825,118.62590512796305,51861.80312823411,1024,10,0,[],False,True
cifar10_dir1_free-rider_seed0,cifar10,dir1,free_rider,0,full,0.55775,102.40872901165858,46109.83915200899,1024,10,4,"[1, 4, 6, 7]",True,True
cifar10_dir1_free-rider_seed1,cifar10,dir1,free_rider,1,full,0.52675,101.4169013290084,45050.488217804,1024,10,4,"[0, 4, 6, 7]",True,True
cifar10_dir1_free-rider_seed2,cifar10,dir1,free_rider,2,full,0.54975,117.18318947101943,51555.918014847906,1024,10,4,"[3, 4, 6, 9]",True,True
cifar10_dir1_grad-noise_seed0,cifar10,dir1,grad_noise,0,full,0.43675,106.91381295770407,47732.94332555588,1024,10,4,"[1, 4, 6, 7]",True,True
cifar10_dir1_grad-noise_seed1,cifar10,dir1,grad_noise,1,full,0.4255,132.24031349108554,56182.96215600404,1024,10,4,"[0, 4, 6, 7]",True,True
cifar10_dir1_grad-noise_seed2,cifar10,dir1,grad_noise,2,full,0.466,120.26410149014555,52926.50125524402,1024,10,4,"[3, 4, 6, 9]",True,True
cifar10_dir1_label-flip_fr0.70_seed0,cifar10,dir1,label_flip,0,full,0.5905,104.13977940334007,47020.797173900064,1024,10,4,"[1, 4, 6, 7]",False,True
cifar10_dir1_label-flip_fr0.70_seed1,cifar10,dir1,label_flip,1,full,0.57825,104.34065671218559,45287.965899626026,1024,10,4,"[0, 4, 6, 7]",False,True
cifar10_dir1_label-flip_fr0.70_seed2,cifar10,dir1,label_flip,2,full,0.579375,115.83750941907056,50982.89779099007,1024,10,4,"[3, 4, 6, 9]",False,True
cifar10_iid_clean_seed0,cifar10,iid,clean,0,full,0.653875,104.3719128560042,47135.76963259402,1024,10,0,[],False,True
cifar10_iid_clean_seed1,cifar10,iid,clean,1,full,0.64325,104.16315599501831,46465.11576402298,1024,10,0,[],False,True
cifar10_iid_clean_seed2,cifar10,iid,clean,2,full,0.651125,119.64024219987914,52831.64643826522,1024,10,0,[],False,True
cifar10_iid_free-rider_seed0,cifar10,iid,free_rider,0,full,0.592625,102.06035455397796,46209.224543220014,1024,10,4,"[1, 4, 6, 7]",True,True
cifar10_iid_free-rider_seed1,cifar10,iid,free_rider,1,full,0.591875,115.9258042240981,51771.83517479501,1024,10,4,"[0, 4, 6, 7]",True,True
cifar10_iid_free-rider_seed2,cifar10,iid,free_rider,2,full,0.5985,116.71270107780583,51775.10306453821,1024,10,4,"[3, 4, 6, 9]",True,True
cifar10_iid_grad-noise_seed0,cifar10,iid,grad_noise,0,full,0.444625,105.45319847436622,48645.217844756786,1024,10,4,"[1, 4, 6, 7]",True,True
cifar10_iid_grad-noise_seed1,cifar10,iid,grad_noise,1,full,0.44825,121.56393822701648,53404.84295952297,1024,10,4,"[0, 4, 6, 7]",True,True
cifar10_iid_grad-noise_seed2,cifar10,iid,grad_noise,2,full,0.483375,119.85967361205257,52764.30068939482,1024,10,4,"[3, 4, 6, 9]",True,True
cifar10_iid_label-flip_fr0.70_seed0,cifar10,iid,label_flip,0,full,0.601125,106.62176298256963,48308.46966484212,1024,10,4,"[1, 4, 6, 7]",False,True
cifar10_iid_label-flip_fr0.70_seed1,cifar10,iid,label_flip,1,full,0.60175,115.6013565089088,51148.723308116896,1024,10,4,"[0, 4, 6, 7]",False,True
