dataset,partition,threat,(b)oracle,Flirds,Flirds1st,FedIF,GTG,FedSV,ShapleyFL,Banzhaf,ComFedSV,loss-heur,Ripple
cifar10,dir1,free_rider,+1.000 (1),+1.000 (1),+1.000 (1),+1.000 (1),+0.667 (1),+0.292 (1),+0.000 (1),+1.000 (1),+0.583 (1),+1.000 (1),
cifar10,dir1,grad_noise,+1.000 (1),+1.000 (1),+0.083 (1),+1.000 (1),+1.000 (1),+1.000 (1),+1.000 (1),+1.000 (1),+0.708 (1),+1.000 (1),
cifar10,dir1,label_flip,+1.000 (1),+1.000 (1),+1.000 (1),+1.000 (1),+1.000 (1),+1.000 (1),+1.000 (1),+1.000 (1),+0.875 (1),+1.000 (1),+1.000 (1)
cifar10,iid,free_rider,+1.000±0.000 (2),+1.000±0.000 (2),+1.000±0.000 (2),+1.000±0.000 (2),+1.000±0.000 (2),+0.729±0.324 (2),+0.000±0.000 (2),+1.000±0.000 (2),+0.729±0.029 (2),+1.000±0.000 (2),
cifar10,iid,grad_noise,+1.000 (1),+1.000 (1),+0.375 (1),+1.000 (1),+1.000 (1),+1.000 (1),+1.000 (1),+1.000 (1),+0.708 (1),+1.000 (1),
cifar10,iid,label_flip,+1.000 (1),+1.000 (1),+1.000 (1),+1.000 (1),+1.000 (1),+1.000 (1),+1.000 (1),+1.000 (1),+1.000 (1),+1.000 (1),+1.000 (1)
mnist,dir1,free_rider,+1.000 (1),+1.000 (1),+1.000 (1),+1.000 (1),+1.000 (1),+1.000 (1),+0.167 (1),+1.000 (1),+1.000 (1),+1.000 (1),
mnist,dir1,grad_noise,+1.000 (1),+1.000 (1),+0.750 (1),+1.000 (1),+1.000 (1),+1.000 (1),+1.000 (1),+1.000 (1),+1.000 (1),+1.000 (1),
mnist,dir1,label_flip,+1.000 (1),+1.000 (1),+1.000 (1),+1.000 (1),+1.000 (1),+1.000 (1),+1.000 (1),+1.000 (1),+1.000 (1),+1.000 (1),+1.000 (1)
mnist,iid,free_rider,+1.000 (1),+1.000 (1),+1.000 (1),+1.000 (1),+1.000 (1),+1.000 (1),+0.667 (1),+1.000 (1),+1.000 (1),+1.000 (1),
mnist,iid,grad_noise,+1.000 (1),+1.000 (1),+0.750 (1),+1.000 (1),+1.000 (1),+1.000 (1),+1.000 (1),+1.000 (1),+1.000 (1),+1.000 (1),
mnist,iid,label_flip,+1.000 (1),+1.000 (1),+1.000 (1),+1.000 (1),+1.000 (1),+1.000 (1),+1.000 (1),+1.000 (1),+1.000 (1),+1.000 (1),+1.000 (1)
