dataset,partition,threat,seed,spearman_a,kendall_a,pearson_a,cos_a,euc_a,maxdiff_a
cifar10,dir1,clean,2,0.6121212121212121,0.5111111111111111,0.7279320466177721,0.1836026174301586,0.33855284381539724,0.25259105304687757
cifar10,dir1,free_rider,2,0.7191012094028307,0.5967623950328607,0.8720550610952823,0.06137737909052876,0.15267797312450695,0.1397229608899071
cifar10,dir1,grad_noise,2,0.9636363636363635,0.911111111111111,0.9715200973027867,0.0287591605896107,0.9670883444218754,0.5366445651512298
cifar10,dir1,label_flip,2,0.8666666666666665,0.7333333333333333,0.7764375996402562,0.20360829648698453,0.6432070315967665,0.4371794279514797
cifar10,iid,clean,2,-0.5636363636363636,-0.4666666666666666,-0.6609969305633489,0.024529393801831945,0.08710018451462095,0.04893623601974008
cifar10,iid,free_rider,0,0.4578625123896586,0.3138229572304239,0.7381774580177681,0.0958010300358042,0.19079977390925193,0.1469282696413617
cifar10,iid,free_rider,2,0.7087460808223484,0.506944777064531,0.9413055899743376,0.053038276202726053,0.15416750471893848,0.07582467553804838
cifar10,iid,grad_noise,2,0.6242424242424242,0.4666666666666666,0.9141953346870474,0.08546356564697066,1.1795774018331149,1.0807027939928906
cifar10,iid,label_flip,2,0.6727272727272726,0.4666666666666666,0.9318120212581783,0.11006285179790509,0.4859298681793894,0.23044178926944736
mnist,dir1,clean,1,0.8545454545454544,0.7333333333333333,0.8668128373627835,0.04924293130974655,0.23518138578552236,0.13748166506607395
mnist,dir1,free_rider,1,0.9567172612055053,0.8832083446486338,0.9293772565388116,0.03206502777837117,0.2411827303679492,0.18411573581681326
mnist,dir1,grad_noise,1,0.8666666666666665,0.6888888888888888,0.8964084700193553,0.19546299218161445,1.9003341052189617,0.9203368604077464
mnist,dir1,label_flip,1,0.9999999999999999,0.9999999999999999,0.985801453677263,0.09525421181058269,0.7360899272681627,0.33008901359649384
mnist,iid,clean,1,0.49090909090909085,0.4222222222222222,0.5322870463669354,8.604235413200989e-05,0.009302797642458142,0.006653823782302837
mnist,iid,free_rider,1,0.8216436866170587,0.6517861419401112,0.9999505816511467,0.00017072207084056767,0.021995376064051397,0.009735359857291348
mnist,iid,grad_noise,1,0.6484848484848483,0.37777777777777777,0.9802498882451071,0.15283226590158383,1.7369423442319223,0.9196261796673603
mnist,iid,label_flip,1,0.7454545454545454,0.5555555555555555,0.9998046269304144,0.1214084029190482,0.9837217849357277,0.39437508054354387
