dataset,partition,threat,(b)oracle,Flirds,Flirds1st,FedIF,GTG,FedSV,ShapleyFL,Banzhaf,ComFedSV,loss-heur,Ripple
cifar10,dir1,clean,+0.511 (1),+0.467 (1),+0.289 (1),+0.111 (1),+0.911 (1),+0.778 (1),+0.689 (1),+0.511 (1),+0.511 (1),+0.467 (1),-0.378 (1)
cifar10,dir1,free_rider,+0.597 (1),+0.597 (1),+0.501 (1),+0.454 (1),+0.733 (1),+0.244 (1),-0.072 (1),+0.597 (1),+0.511 (1),+0.597 (1),
cifar10,dir1,grad_noise,+0.911 (1),+0.822 (1),-0.111 (1),+0.556 (1),+0.644 (1),+0.689 (1),+0.689 (1),+0.867 (1),+0.111 (1),+0.867 (1),
cifar10,dir1,label_flip,+0.733 (1),+0.733 (1),+0.600 (1),+0.378 (1),+0.867 (1),+0.867 (1),+0.778 (1),+0.733 (1),+0.733 (1),+0.689 (1),+0.422 (1)
cifar10,iid,clean,-0.467 (1),-0.422 (1),-0.244 (1),-0.067 (1),-0.289 (1),-0.511 (1),-0.333 (1),-0.422 (1),+0.200 (1),-0.200 (1),+0.022 (1)
cifar10,iid,free_rider,+0.410±0.137 (2),+0.362±0.137 (2),+0.579±0.102 (2),+0.579±0.307 (2),+0.472±0.032 (2),+0.112±0.159 (2),-0.410±0.137 (2),+0.410±0.137 (2),+0.315±0.191 (2),+0.483±0.102 (2),
cifar10,iid,grad_noise,+0.467 (1),+0.422 (1),-0.156 (1),+0.511 (1),+0.556 (1),+0.467 (1),+0.467 (1),+0.422 (1),+0.244 (1),+0.556 (1),
cifar10,iid,label_flip,+0.467 (1),+0.467 (1),+0.511 (1),+0.467 (1),+0.556 (1),+0.422 (1),+0.333 (1),+0.467 (1),+0.644 (1),+0.422 (1),+0.511 (1)
mnist,dir1,clean,+0.733 (1),+0.689 (1),+0.689 (1),+0.111 (1),+0.600 (1),+0.511 (1),+0.200 (1),+0.689 (1),+0.644 (1),+0.733 (1),+0.600 (1)
mnist,dir1,free_rider,+0.883 (1),+0.883 (1),+0.835 (1),+0.645 (1),+0.911 (1),+0.822 (1),-0.310 (1),+0.883 (1),+0.689 (1),+0.883 (1),
mnist,dir1,grad_noise,+0.689 (1),+0.733 (1),+0.467 (1),+0.511 (1),+0.689 (1),+0.956 (1),+0.600 (1),+0.733 (1),+0.556 (1),+0.733 (1),
mnist,dir1,label_flip,+1.000 (1),+1.000 (1),+1.000 (1),+0.111 (1),+0.911 (1),+0.822 (1),+0.467 (1),+0.956 (1),+0.644 (1),+1.000 (1),+0.778 (1)
mnist,iid,clean,+0.422 (1),+0.200 (1),+0.244 (1),+0.600 (1),+0.067 (1),-0.244 (1),+0.733 (1),+0.467 (1),-0.156 (1),+0.289 (1),+0.333 (1)
mnist,iid,free_rider,+0.652 (1),+0.555 (1),+0.555 (1),+0.748 (1),+0.539 (1),+0.315 (1),+0.326 (1),+0.652 (1),+0.315 (1),+0.555 (1),
mnist,iid,grad_noise,+0.378 (1),+0.511 (1),+0.378 (1),+0.644 (1),+0.467 (1),+0.467 (1),+0.600 (1),+0.467 (1),+0.289 (1),+0.600 (1),
mnist,iid,label_flip,+0.556 (1),+0.556 (1),+0.511 (1),+0.644 (1),+0.467 (1),+0.467 (1),+0.689 (1),+0.556 (1),+0.511 (1),+0.511 (1),+0.378 (1)
