dataset,partition,threat,(b)oracle,Flirds,Flirds1st,FedIF,GTG,FedSV,ShapleyFL,Banzhaf,ComFedSV,loss-heur,Ripple
cifar10,dir1,clean,+0.515±0.409,+0.515±0.401,+0.438±0.335,+0.531±0.410,+0.766±0.266,+0.648±0.430,+0.596±0.337,+0.515±0.409,+0.616±0.303,+0.564±0.309,-0.026±0.601
cifar10,dir1,free_rider,+0.848±0.116,+0.848±0.116,+0.802±0.194,+0.565±0.094,+0.596±0.214,+0.131±0.201,-0.211±0.044,+0.848±0.116,+0.265±0.378,+0.836±0.137,
cifar10,dir1,grad_noise,+0.947±0.019,+0.883±0.120,-0.184±0.303,+0.640±0.043,+0.822±0.067,+0.830±0.021,+0.838±0.031,+0.943±0.014,+0.600±0.378,+0.915±0.032,
cifar10,dir1,label_flip,+0.879±0.032,+0.871±0.043,+0.855±0.085,+0.701±0.172,+0.911±0.050,+0.907±0.043,+0.883±0.046,+0.879±0.032,+0.907±0.007,+0.883±0.049,+0.749±0.083
cifar10,iid,clean,-0.273±0.252,-0.232±0.220,-0.131±0.316,+0.067±0.164,-0.196±0.217,-0.176±0.503,+0.063±0.476,-0.212±0.287,+0.297±0.140,-0.176±0.204,-0.200±0.195
cifar10,iid,free_rider,+0.625±0.145,+0.579±0.159,+0.759±0.043,+0.713±0.228,+0.638±0.084,+0.286±0.197,-0.562±0.122,+0.625±0.145,+0.385±0.233,+0.705±0.051,
cifar10,iid,grad_noise,+0.653±0.118,+0.644±0.133,-0.204±0.305,+0.745±0.092,+0.705±0.039,+0.661±0.063,+0.657±0.050,+0.653±0.126,+0.661±0.314,+0.701±0.139,
cifar10,iid,label_flip,+0.705±0.031,+0.709±0.032,+0.689±0.091,+0.701±0.035,+0.709±0.061,+0.701±0.079,+0.717±0.102,+0.709±0.032,+0.855±0.012,+0.669±0.088,+0.685±0.032
mnist,dir1,clean,+0.632±0.334,+0.600±0.378,+0.620±0.396,+0.285±0.242,+0.838±0.060,+0.798±0.110,+0.491±0.176,+0.624±0.326,+0.758±0.143,+0.653±0.350,+0.475±0.533
mnist,dir1,free_rider,+0.915±0.072,+0.915±0.072,+0.907±0.066,+0.861±0.051,+0.968±0.025,+0.952±0.021,-0.115±0.431,+0.915±0.072,+0.871±0.019,+0.915±0.072,
mnist,dir1,grad_noise,+0.903±0.036,+0.879±0.024,+0.301±0.353,+0.681±0.062,+0.851±0.077,+0.903±0.117,+0.867±0.061,+0.891±0.044,+0.725±0.037,+0.903±0.032,
mnist,dir1,label_flip,+0.960±0.070,+0.960±0.070,+0.960±0.070,+0.564±0.138,+0.960±0.039,+0.931±0.043,+0.851±0.138,+0.956±0.067,+0.802±0.025,+0.960±0.070,+0.810±0.105
mnist,iid,clean,+0.438±0.102,+0.358±0.099,+0.519±0.335,+0.741±0.150,+0.192±0.286,-0.111±0.452,+0.624±0.231,+0.442±0.096,-0.095±0.206,+0.483±0.249,+0.087±0.330
mnist,iid,free_rider,+0.717±0.140,+0.667±0.095,+0.675±0.101,+0.813±0.157,+0.754±0.068,+0.721±0.145,+0.452±0.198,+0.717±0.140,+0.626±0.058,+0.692±0.119,
mnist,iid,grad_noise,+0.754±0.091,+0.745±0.044,+0.337±0.398,+0.770±0.063,+0.729±0.031,+0.669±0.043,+0.810±0.115,+0.782±0.064,+0.580±0.102,+0.790±0.049,
mnist,iid,label_flip,+0.762±0.086,+0.762±0.086,+0.745±0.087,+0.842±0.021,+0.669±0.061,+0.697±0.087,+0.867±0.053,+0.762±0.086,+0.697±0.032,+0.766±0.086,+0.657±0.028
