dataset,partition,threat,Flirds,Flirds1st,FedIF,GTG,FedSV,ShapleyFL,Banzhaf,ComFedSV,loss-heur,Ripple
cifar10,dir1,clean,+0.992±0.007,+0.931±0.037,+0.754±0.158,+0.749±0.134,+0.713±0.250,+0.661±0.200,+1.000±0.000,+0.515±0.370,+0.956±0.031,+0.325±0.505
cifar10,dir1,free_rider,+1.000±0.000,+0.987±0.022,+0.768±0.156,+0.459±0.067,+0.038±0.101,-0.329±0.225,+1.000±0.000,+0.206±0.239,+0.987±0.022,
cifar10,dir1,grad_noise,+0.915±0.064,-0.188±0.280,+0.653±0.031,+0.871±0.073,+0.822±0.079,+0.830±0.032,+0.996±0.007,+0.604±0.323,+0.952±0.036,
cifar10,dir1,label_flip,+0.996±0.007,+0.980±0.025,+0.721±0.133,+0.919±0.019,+0.911±0.039,+0.859±0.049,+1.000±0.000,+0.810±0.091,+0.992±0.007,+0.875±0.007
cifar10,iid,clean,+0.952±0.012,+0.535±0.196,+0.455±0.192,+0.208±0.480,+0.216±0.602,+0.143±0.623,+0.984±0.007,+0.115±0.149,+0.689±0.139,+0.305±0.196
cifar10,iid,free_rider,+0.978±0.015,+0.901±0.049,+0.884±0.052,+0.819±0.022,+0.473±0.329,-0.738±0.066,+1.000±0.000,+0.582±0.168,+0.931±0.020,
cifar10,iid,grad_noise,+0.968±0.019,+0.139±0.116,+0.859±0.133,+0.685±0.128,+0.762±0.037,+0.883±0.088,+0.992±0.007,+0.479±0.515,+0.931±0.019,
cifar10,iid,label_flip,+0.996±0.007,+0.952±0.032,+0.931±0.007,+0.745±0.084,+0.713±0.025,+0.842±0.053,+0.996±0.007,+0.725±0.158,+0.960±0.025,+0.657±0.130
mnist,dir1,clean,+0.982±0.009 (2),+0.970±0.009 (2),+0.176±0.051 (2),+0.745±0.291 (2),+0.539±0.017 (2),+0.255±0.060 (2),+0.994±0.009 (2),+0.594±0.146 (2),+0.988±0.017 (2),+0.733±0.257 (2)
mnist,dir1,free_rider,+1.000±0.000 (2),+0.994±0.009 (2),+0.903±0.119 (2),+0.944±0.000 (2),+0.950±0.009 (2),-0.394±0.091 (2),+1.000±0.000 (2),+0.944±0.000 (2),+1.000±0.000 (2),
mnist,dir1,grad_noise,+0.970±0.026 (2),+0.400±0.386 (2),+0.673±0.017 (2),+0.897±0.111 (2),+0.873±0.060 (2),+0.806±0.069 (2),+0.988±0.000 (2),+0.745±0.069 (2),+0.982±0.009 (2),
mnist,dir1,label_flip,+1.000±0.000 (2),+1.000±0.000 (2),+0.558±0.129 (2),+0.952±0.034 (2),+0.958±0.043 (2),+0.800±0.146 (2),+0.994±0.009 (2),+0.873±0.060 (2),+1.000±0.000 (2),+0.806±0.137 (2)
mnist,iid,clean,+0.814±0.165,+0.778±0.110,+0.725±0.081,+0.475±0.311,+0.042±0.405,+0.479±0.338,+0.976±0.021,+0.099±0.370,+0.842±0.073,+0.184±0.249
mnist,iid,free_rider,+0.948±0.055 (2),+0.897±0.018 (2),+0.871±0.055 (2),+0.625±0.044 (2),+0.713±0.044 (2),+0.637±0.104 (2),+1.000±0.000 (2),+0.775±0.009 (2),+0.935±0.036 (2),
mnist,iid,grad_noise,+0.867±0.034 (2),+0.248±0.223 (2),+0.806±0.103 (2),+0.679±0.077 (2),+0.812±0.163 (2),+0.673±0.034 (2),+0.988±0.017 (2),+0.667±0.163 (2),+0.885±0.060 (2),
mnist,iid,label_flip,+1.000±0.000 (2),+0.970±0.026 (2),+0.855±0.086 (2),+0.709±0.086 (2),+0.648±0.103 (2),+0.842±0.086 (2),+1.000±0.000 (2),+0.697±0.069 (2),+0.964±0.017 (2),+0.691±0.180 (2)
