dataset,method,runtime
cifar10,Banzhaf,150.74471416906454
cifar10,ComFedSV,24.600963365053758
cifar10,FedIF,0.5316609245492145
cifar10,FedSV,29.98988704243675
cifar10,Flirds,1.4045624500140548
cifar10,Flirds1st,0.41181256249547005
cifar10,GTG,98.6851146328263
cifar10,Ripple,8663.275941147003
cifar10,ShapleyFL,148.94434180646203
cifar10,loss-heur,0.8429985623806715
mnist,Banzhaf,34.59498809813522
mnist,ComFedSV,5.589418554445729
mnist,FedIF,0.18792663631029427
mnist,FedSV,6.829401140101254
mnist,Flirds,0.9837016989476979
mnist,Flirds1st,0.09794678399339318
mnist,GTG,20.22926866542548
mnist,Ripple,1987.1862885379232
mnist,ShapleyFL,33.93155574472621
mnist,loss-heur,0.16895036050118506
