cell,dataset,partition,threat,seed,method,n_neg,n_neg_clean,n_neg_corrupt,n_exact_zero,n_exact_zero_corrupt,phi_clean_mean,phi_corrupt_mean,phi_gap,phi_gap_norm,phi_min,phi_max
cifar10_dir1_clean_seed2,cifar10,dir1,clean,2,(b)oracle,9,9,,0,,-0.12085723876953128,,,,-0.2089963459306291,0.01883207408208697
cifar10_dir1_clean_seed2,cifar10,dir1,clean,2,Flirds,10,10,,0,,-0.1350894392421716,,,,-0.2214462593782693,-0.014391798358447866
cifar10_dir1_clean_seed2,cifar10,dir1,clean,2,Flirds1st,10,10,,0,,-0.15025937012264973,,,,-0.22815570018455386,-0.05502644793327898
cifar10_dir1_clean_seed2,cifar10,dir1,clean,2,GTG,8,8,,0,,-0.07689177720800057,,,,-0.3224978762490481,0.3451438257046092
cifar10_dir1_clean_seed2,cifar10,dir1,clean,2,FedSV,8,8,,0,,-0.12085723876953125,,,,-0.9198357542355856,1.8878430048624675
cifar10_dir1_clean_seed2,cifar10,dir1,clean,2,ComFedSV,8,8,,0,,-0.12180855274200435,,,,-0.9619643489519755,2.083871473868688
cifar10_dir1_clean_seed2,cifar10,dir1,clean,2,Banzhaf,9,9,,0,,-0.12954091969877482,,,,-0.21914233546704054,0.00947118690237403
cifar10_dir1_clean_seed2,cifar10,dir1,clean,2,ShapleyFL,10,10,,0,,-0.7804304615338079,,,,-0.9977092609009662,-0.024429974347214087
cifar10_dir1_clean_seed2,cifar10,dir1,clean,2,FedIF,10,10,,0,,-0.46770651912420486,,,,-0.7025841939400321,-0.1830935361406159
cifar10_dir1_clean_seed2,cifar10,dir1,clean,2,loss-heur,9,9,,0,,-0.09929918050765991,,,,-0.2094566822052002,0.053429365158081055
cifar10_dir1_clean_seed2,cifar10,dir1,clean,2,Ripple,10,10,,0,,-30.696680589780264,,,,-52.2658230399785,-22.73450643875777
cifar10_dir1_clean_seed2,cifar10,dir1,clean,2,(a)oracle,2,2,,0,,0.11329732055664057,,,,-0.27142312712896455,0.25700518038310716
cifar10_dir1_free-rider_seed2,cifar10,dir1,free_rider,2,(b)oracle,6,6,0.0,4,4.0,-0.16670465469360352,0.0,-0.16670465469360352,-0.622964400644784,-0.2675990064938863,0.0
cifar10_dir1_free-rider_seed2,cifar10,dir1,free_rider,2,Flirds,6,6,0.0,4,4.0,-0.1689179135085025,0.0,-0.1689179135085025,-0.6264886509515241,-0.2696264541296102,0.0
cifar10_dir1_free-rider_seed2,cifar10,dir1,free_rider,2,Flirds1st,6,6,0.0,4,4.0,-0.15217653544141443,0.0,-0.15217653544141443,-0.63472286643575,-0.23975272278428075,0.0
cifar10_dir1_free-rider_seed2,cifar10,dir1,free_rider,2,GTG,9,5,4.0,0,0.0,-0.07704039235092897,-0.027924365308033147,-0.04911602704289582,-0.08785311858996085,-0.3510814979810758,0.2079883202701843
