dataset,partition,scenario,method,spearman_b,pearson_b,kendall_b,auroc,spearman_vs_rate,spearman_vs_rate_corrupt,runtime_s
cifar10,dir1,clean,(b)oracle,,,,,,,825.1289913210785
cifar10,dir1,clean,ComFedSV,0.2641584158415841,0.26287988272946394,0.1835690235690236,,,,23.872907984342117
cifar10,dir1,clean,FedIF,0.46590259025902586,0.4437583898608732,0.3208080808080809,,,,5.411137712964167
cifar10,dir1,clean,FedSV,0.6153295329532953,0.6880995621260194,0.44700336700336707,,,,294.30358981826186
cifar10,dir1,clean,Flirds,0.984090409040904,0.9899795036465159,0.9098989898989901,,,,10.435852434369735
cifar10,dir1,clean,Flirds1st,0.41273327332733273,0.29446256956870737,0.3038383838383839,,,,4.22694039309863
cifar10,dir1,clean,GTG,0.6156575657565756,0.7005163203152329,0.4498316498316499,,,,1261.7259611833142
cifar10,dir1,clean,ShapleyFL,0.5104150415041503,0.5130864870281281,0.35757575757575766,,,,1467.9688653553992
cifar10,dir1,clean,loss-heur,0.8343554355435542,0.8867363165734558,0.6565656565656567,,,,9.16632386436686
cifar10,dir1,free_rider,(b)oracle,,,,0.6833333333333332,,,826.0317696357379
cifar10,dir1,free_rider,ComFedSV,-0.0190760401508676,0.0886225936995562,-0.018195324242102965,0.21930555555555556,,,23.282337632980973
cifar10,dir1,free_rider,FedIF,0.533105753694903,0.4528574364785272,0.3920798901201543,0.954861111111111,,,5.278460451052524
cifar10,dir1,free_rider,FedSV,0.01356017636821725,0.3324948016321641,-0.004989040517995975,0.008194444444444452,,,290.7229843133052
cifar10,dir1,free_rider,Flirds,0.9840887236361304,0.9968614335125173,0.9531574740207832,0.6833333333333332,,,10.509510940018421
cifar10,dir1,free_rider,Flirds1st,0.5108147958202448,0.466556168941604,0.4030375699440447,0.9777777777777777,,,4.147553311001199
cifar10,dir1,free_rider,GTG,0.023818690644645674,0.3002118939088587,0.004548831060525743,0.021527777777777795,,,1065.5566885079995
cifar10,dir1,free_rider,ShapleyFL,-0.05954154972010137,0.09931102632656119,-0.05941427321084897,0.0,,,1457.9041671656694
cifar10,dir1,free_rider,loss-heur,0.8773211958031496,0.9317496894482126,0.7691446842525979,0.7999999999999999,,,9.105329930277852
cifar10,dir1,frrand,(b)oracle,,,,0.685,,,834.5421759846698
cifar10,dir1,frrand,ComFedSV,-0.032739273927392745,0.08977682476455433,-0.02976430976430977,0.21875000000000003,,,23.537594587348092
cifar10,dir1,frrand,FedIF,0.5180638063806381,0.45301531144395396,0.3655218855218856,0.9550000000000001,,,5.229688324732706
cifar10,dir1,frrand,FedSV,0.009096909690969096,0.33565407036917555,-0.008484848484848486,0.008194444444444452,,,294.29912223938544
cifar10,dir1,frrand,Flirds,0.9943834383438342,0.9969548027739356,0.961885521885522,0.6820833333333334,,,10.680788474661918
cifar10,dir1,frrand,Flirds1st,0.5368536853685368,0.4661419051568924,0.44969696969696976,0.9777777777777777,,,4.221835500677116
cifar10,dir1,frrand,GTG,0.019069906990699066,0.3037591738300858,-0.002828282828282828,0.02347222222222224,,,1080.425020097716
cifar10,dir1,frrand,ShapleyFL,-0.04034611293747884,0.09763650530254747,-0.02040535339419344,0.0,,,1469.7476491700315
cifar10,dir1,frrand,loss-heur,0.8793279327932794,0.9323211972192569,0.7600000000000001,0.8008333333333333,,,9.233259951967435
cifar10,dir1,grad_noise,(b)oracle,,,,0.9997222222222222,,,837.9881608525757
cifar10,dir1,grad_noise,ComFedSV,0.3255405540554055,0.3187503897756776,0.2154882154882155,0.7383333333333333,,,23.55217761034146
cifar10,dir1,grad_noise,FedIF,0.7675367536753676,0.817269832995922,0.5372390572390574,1.0,,,5.307154833339155
cifar10,dir1,grad_noise,FedSV,0.8771717171717172,0.8524861993756812,0.6847138047138048,1.0,,,291.9548286680753
cifar10,dir1,grad_noise,Flirds,0.8465726572657265,0.93732659417992,0.6911784511784513,0.9984722222222221,,,10.391005442710593
cifar10,dir1,grad_noise,Flirds1st,0.21796179617961794,-0.050541422908053,0.22653198653198656,0.4937500000000001,,,4.210343312704936
cifar10,dir1,grad_noise,GTG,0.8748354835483547,0.8576457193915878,0.6822895622895624,1.0,,,927.4231735573461
cifar10,dir1,grad_noise,ShapleyFL,0.7594679467946794,0.8110635870031598,0.5319865319865321,1.0,,,1462.461231774728
cifar10,dir1,grad_noise,loss-heur,0.9861946194619461,0.9722449997553837,0.9084175084175086,0.9941666666666666,,,9.257700795928637
