scenario,a_xseed_mean,pair_0_1,pair_0_2,pair_1_2,source
cifar10_feature-noise,0.580,0.39,0.77,0.58,computed from c1_oracle/{scenario}_aonly_seed{0-2}/metrics.json phi_a (spearman over client vectors)
cifar10_iid,0.232,0.08,0.35,0.27,same
cifar10_label-flip,0.244,-0.05,0.28,0.50,same
cifar10_label-skew,0.681,0.89,0.65,0.50,same
cifar10_quantity-skew,0.434,0.20,0.24,0.87,same
mnist_feature-noise,-0.277,-0.26,-0.05,-0.52,same
mnist_iid,-0.248,-0.24,-0.27,-0.24,same
mnist_label-flip,0.968,0.98,0.95,0.98,same
mnist_label-skew,0.196,-0.08,0.58,0.09,same
mnist_quantity-skew,0.564,0.60,0.26,0.83,same
