dataset,scenario,seed,method,spearman_a
mnist,iid,0,(b)oracle,0.32121212121212117
mnist,iid,0,Flirds,0.33333333333333326
mnist,iid,0,Flirds1st,0.28484848484848485
mnist,iid,0,GTG,-0.07878787878787878
mnist,iid,0,FedSV,-0.24848484848484845
mnist,iid,0,ComFedSV,-0.17575757575757575
mnist,iid,0,Banzhaf,0.33333333333333326
mnist,iid,0,ShapleyFL,0.49090909090909085
mnist,iid,0,FedIF,0.5757575757575757
mnist,iid,0,loss-heur,0.2727272727272727
mnist,iid,0,Ripple,-0.07878787878787878
mnist,iid,1,(b)oracle,0.49090909090909085
mnist,iid,1,Flirds,0.2727272727272727
mnist,iid,1,Flirds1st,0.3696969696969697
mnist,iid,1,GTG,0.16363636363636364
mnist,iid,1,FedSV,-0.4787878787878787
mnist,iid,1,ComFedSV,-0.24848484848484845
mnist,iid,1,Banzhaf,0.5151515151515151
mnist,iid,1,ShapleyFL,0.8545454545454544
mnist,iid,1,FedIF,0.7818181818181817
mnist,iid,1,loss-heur,0.41818181818181815
mnist,iid,1,Ripple,0.4666666666666666
mnist,iid,2,(b)oracle,0.5030303030303029
mnist,iid,2,Flirds,0.4666666666666666
mnist,iid,2,Flirds1st,0.9030303030303028
mnist,iid,2,GTG,0.49090909090909085
mnist,iid,2,FedSV,0.3939393939393939
mnist,iid,2,ComFedSV,0.13939393939393938
mnist,iid,2,Banzhaf,0.4787878787878787
mnist,iid,2,ShapleyFL,0.6484848484848483
mnist,iid,2,FedIF,0.8666666666666665
mnist,iid,2,loss-heur,0.7575757575757575
mnist,iid,2,Ripple,-0.12727272727272726
mnist,label-flip,0,(b)oracle,0.9757575757575757
mnist,label-flip,0,Flirds,0.9636363636363635
mnist,label-flip,0,Flirds1st,0.9636363636363635
mnist,label-flip,0,GTG,0.9757575757575757
mnist,label-flip,0,FedSV,0.9515151515151514
mnist,label-flip,0,ComFedSV,0.9515151515151514
mnist,label-flip,0,Banzhaf,0.9757575757575757
mnist,label-flip,0,ShapleyFL,0.9636363636363635
mnist,label-flip,0,FedIF,0.9636363636363635
mnist,label-flip,0,loss-heur,0.9636363636363635
mnist,label-flip,0,Ripple,0.9878787878787878
mnist,label-flip,1,(b)oracle,0.9515151515151514
mnist,label-flip,1,Flirds,0.9515151515151514
