cell,scale,regime,seed,arm,mmlu,rouge_l,final_val_loss,rounds_to_target
1B_std20_seed0,1B,std20,0,base,0.4821962683378436,0.21557837998261425,,
1B_std20_seed0,1B,std20,0,vanilla,0.47429141147984616,0.2779205064422142,1.2877435684204102,200.0
1B_std20_seed0,1B,std20,0,flirds_w,0.47429141147984616,0.28003957463999224,1.2876349687576294,198.0
1B_std20_seed0,1B,std20,0,flirds_sel,0.4737929069933058,0.2794831243709104,1.2878895998001099,
1B_std20_seed0,1B,std20,0,shapleyfl_w,0.4737929069933058,0.27950238088663615,1.287656307220459,198.0
1B_std20_seed0,1B,std20,0,fedif_w,0.47372169206665715,0.28004505340472513,1.2876238822937012,198.0
1B_std20_seed1,1B,std20,1,base,0.4821962683378436,0.2154316758478946,,
1B_std20_seed1,1B,std20,1,vanilla,0.47414898162654895,0.29032095630135907,1.2360683679580688,200.0
1B_std20_seed1,1B,std20,1,flirds_w,0.47486113089303517,0.2917326955721643,1.236196756362915,
1B_std20_seed1,1B,std20,1,flirds_sel,0.47336561743341404,0.28921592544985975,1.236124038696289,
1B_std20_seed1,1B,std20,1,shapleyfl_w,0.4749323458196838,0.2913920206910062,1.2361923456192017,
1B_std20_seed1,1B,std20,1,fedif_w,0.4745762711864407,0.2910317532905026,1.2361810207366943,
1B_std20_seed2,1B,std20,2,base,0.4821962683378436,0.21947894959216,,
1B_std20_seed2,1B,std20,2,vanilla,0.47414898162654895,0.2841315723330453,1.2720215320587158,200.0
1B_std20_seed2,1B,std20,2,flirds_w,0.47429141147984616,0.2825641692084303,1.2719966173171997,200.0
1B_std20_seed2,1B,std20,2,flirds_sel,0.47450505625979206,0.28265976008818516,1.2720458507537842,199.0
1B_std20_seed2,1B,std20,2,shapleyfl_w,0.4738641219199544,0.28268813237781265,1.2719780206680298,200.0
1B_std20_seed2,1B,std20,2,fedif_w,0.47414898162654895,0.2830210344718514,1.2719019651412964,198.0
1B_anchor5_seed0,1B,anchor5,0,base,0.4821962683378436,0.21557837998261425,,
1B_anchor5_seed0,1B,anchor5,0,vanilla,0.4801310354650335,0.27655276323645095,1.3208248615264893,30.0
1B_anchor5_seed0,1B,anchor5,0,flirds_w,0.47998860561173623,0.27666536499046335,1.3199297189712524,30.0
1B_anchor5_seed0,1B,anchor5,0,shapleyfl_w,0.47998860561173623,0.2767826091415201,1.319932460784912,30.0
1B_anchor5_seed0,1B,anchor5,0,fedif_w,0.4784930921521151,0.27594189022855437,1.3199701309204102,30.0
1B_anchor5_seed1,1B,anchor5,1,base,0.4821962683378436,0.2154316758478946,,
1B_anchor5_seed1,1B,anchor5,1,vanilla,0.48041589517162797,0.2722054560083039,1.2701002359390259,30.0
1B_anchor5_seed1,1B,anchor5,1,flirds_w,0.48112804443811424,0.2749972654427679,1.2692497968673706,30.0
1B_anchor5_seed1,1B,anchor5,1,shapleyfl_w,0.48127047429141145,0.2748835410525706,1.2692375183105469,30.0
1B_anchor5_seed1,1B,anchor5,1,fedif_w,0.4802022503916821,0.27107084905843387,1.2705856561660767,
1B_anchor5_seed2,1B,anchor5,2,base,0.4821962683378436,0.21947894959216,,
1B_anchor5_seed2,1B,anchor5,2,vanilla,0.47977496083179033,0.26878519682537255,1.302042007446289,30.0
1B_anchor5_seed2,1B,anchor5,2,flirds_w,0.47949010112519586,0.2706757291253578,1.3000917434692383,29.0
1B_anchor5_seed2,1B,anchor5,2,shapleyfl_w,0.47949010112519586,0.27060783673872896,1.30009126663208,29.0
1B_anchor5_seed2,1B,anchor5,2,fedif_w,0.48034468024497934,0.2669055856199276,1.302389144897461,
3B_std20_seed0,3B,std20,0,base,0.6229881783221763,0.22381006741387405,,
3B_std20_seed0,3B,std20,0,vanilla,0.6149408916108816,0.3008726006196185,1.1790509223937988,200.0
3B_std20_seed0,3B,std20,0,flirds_w,0.6149408916108816,0.3024833297045479,1.1788054704666138,196.0
3B_std20_seed0,3B,std20,0,flirds_sel,0.6163651901438542,0.30125947998791275,1.1791201829910278,
3B_std20_seed0,3B,std20,0,shapleyfl_w,0.6146560319042872,0.3030367994733227,1.1788417100906372,196.0
3B_std20_seed0,3B,std20,0,fedif_w,0.6139438826378009,0.3042939919432498,1.1788113117218018,196.0
3B_std20_seed1,3B,std20,1,base,0.6229881783221763,0.2200288533914212,,
3B_std20_seed1,3B,std20,1,vanilla,0.6145136020509899,0.30518083697428566,1.11337149143219,195.0
3B_std20_seed1,3B,std20,1,flirds_w,0.613730237857855,0.3034888913104233,1.1128101348876953,188.0
3B_std20_seed1,3B,std20,1,flirds_sel,0.6128756587380715,0.3073266952323674,1.1129193305969238,193.0
3B_std20_seed1,3B,std20,1,shapleyfl_w,0.6133741632246119,0.30329857819057343,1.1128143072128296,188.0
3B_std20_seed1,3B,std20,1,fedif_w,0.6136590229312063,0.3039731281588788,1.1128321886062622,188.0
3B_std20_seed2,3B,std20,2,base,0.6229881783221763,0.22200335068656818,,
3B_std20_seed2,3B,std20,2,vanilla,0.6152257513174761,0.29914630898886896,1.1525686979293823,200.0
3B_std20_seed2,3B,std20,2,flirds_w,0.6149408916108816,0.2989437492993428,1.1520625352859497,192.0
3B_std20_seed2,3B,std20,2,flirds_sel,0.6133741632246119,0.2980346328120482,1.1521155834197998,194.0
3B_std20_seed2,3B,std20,2,shapleyfl_w,0.6147984617575843,0.29948016885144507,1.1520085334777832,191.0
3B_std20_seed2,3B,std20,2,fedif_w,0.6152969662441248,0.2990979536633443,1.1519148349761963,190.0
3B_anchor5_seed0,3B,anchor5,0,base,0.6229881783221763,0.22381006741387405,,
3B_anchor5_seed0,3B,anchor5,0,vanilla,0.6217775245691497,0.27228853766203015,1.2319563627243042,30.0
3B_anchor5_seed0,3B,anchor5,0,flirds_w,0.6214926648625552,0.270620579284143,1.2313429117202759,30.0
