cell,scale,regime,seed,method,spearman,kendall,pearson_vs_b,runtime
1B_std20_seed0,1B,std20,0,Flirds,1.0,1.0,0.9999989040832902,4817.692624495132
1B_std20_seed0,1B,std20,0,Flirds1st,0.9984962406015038,0.9894736842105263,0.9998528788132155,1571.1924007569905
1B_std20_seed0,1B,std20,0,GTG,0.9819548872180449,0.9157894736842106,0.9940653325019904,3748.6156648450997
1B_std20_seed0,1B,std20,0,FedSV,0.956390977443609,0.8526315789473685,0.9643678622432831,3748.3740326492116
1B_std20_seed0,1B,std20,0,ComFedSV,-0.08270676691729321,-0.06315789473684211,-0.09769053541242048,2345.055578524014
1B_std20_seed0,1B,std20,0,ShapleyFL,0.30526315789473685,0.22105263157894736,0.27764356891735525,2998.1249584779143
1B_std20_seed0,1B,std20,0,FedIF,0.20308388047687828,0.14248070704379331,0.2552874608434184,1573.946707913885
1B_std20_seed0,1B,std20,0,loss-heur,1.0,1.0,0.9999940588877693,2994.659043136053
1B_std20_seed1,1B,std20,1,Flirds,1.0,1.0,0.9999949930995973,4548.230821034871
1B_std20_seed1,1B,std20,1,Flirds1st,1.0,1.0,0.9997516746933653,1481.6328154220246
1B_std20_seed1,1B,std20,1,GTG,0.9503759398496241,0.8631578947368421,0.994180659177278,3529.280880962033
1B_std20_seed1,1B,std20,1,FedSV,0.806015037593985,0.6210526315789474,0.9405662044597554,3529.252157564042
1B_std20_seed1,1B,std20,1,ComFedSV,0.27518796992481204,0.19999999999999998,0.358245324954677,2299.626442064997
1B_std20_seed1,1B,std20,1,ShapleyFL,-0.2796992481203007,-0.19999999999999998,-0.11640987807208714,2822.7440104188863
1B_std20_seed1,1B,std20,1,FedIF,-0.23458646616541348,-0.1473684210526316,-0.05531778980363208,1484.8021056780126
1B_std20_seed1,1B,std20,1,loss-heur,1.0,1.0,0.9999665184687783,2818.982860540971
1B_std20_seed2,1B,std20,2,Flirds,1.0,1.0,0.9999976771015158,4724.28539996082
1B_std20_seed2,1B,std20,2,Flirds1st,1.0,1.0,0.9998513048058079,1539.566986030899
1B_std20_seed2,1B,std20,2,GTG,0.993984962406015,0.968421052631579,0.9968844477045377,3661.7056311820634
1B_std20_seed2,1B,std20,2,FedSV,0.9669172932330825,0.8842105263157894,0.9723369258166829,3661.5726538931485
1B_std20_seed2,1B,std20,2,ComFedSV,0.08571428571428572,0.042105263157894736,0.024211159470263754,2345.3249875470065
1B_std20_seed2,1B,std20,2,ShapleyFL,0.5578947368421052,0.37894736842105264,0.5751002295682834,2928.498791592894
1B_std20_seed2,1B,std20,2,FedIF,0.5022556390977443,0.3368421052631579,0.48715414753478986,1542.093668748159
1B_std20_seed2,1B,std20,2,loss-heur,1.0,1.0,0.9999816436941935,2925.241270555882
1B_anchor5_seed0,1B,anchor5,0,(a)oracle,0.8999999999999998,0.7999999999999999,0.9624781174892417,31135.733917189995
1B_anchor5_seed0,1B,anchor5,0,Flirds,0.9999999999999999,0.9999999999999999,0.9999992258071859,726.0500982049853
1B_anchor5_seed0,1B,anchor5,0,Flirds1st,0.9999999999999999,0.9999999999999999,0.9999821063978889,236.7979716588743
1B_anchor5_seed0,1B,anchor5,0,GTG,0.9999999999999999,0.9999999999999999,0.9998640462413225,3648.2941805450246
1B_anchor5_seed0,1B,anchor5,0,FedSV,0.7,0.6,0.8462403982881925,3610.791000029072
1B_anchor5_seed0,1B,anchor5,0,ComFedSV,0.8999999999999998,0.7999999999999999,0.8154563522256477,2256.29237926309
1B_anchor5_seed0,1B,anchor5,0,ShapleyFL,0.8999999999999998,0.7999999999999999,0.9180741494254893,3609.7801270179916
1B_anchor5_seed0,1B,anchor5,0,FedIF,0.7,0.6,0.623714391681971,238.5784090270754
1B_anchor5_seed0,1B,anchor5,0,Banzhaf,0.9999999999999999,0.9999999999999999,0.9999999981456857,3624.3640955199953
1B_anchor5_seed0,1B,anchor5,0,loss-heur,0.9999999999999999,0.9999999999999999,0.999997956558383,1123.618476205971
1B_anchor5_seed1,1B,anchor5,1,(a)oracle,0.9999999999999999,0.9999999999999999,0.8574694459500253,30771.73380183708
1B_anchor5_seed1,1B,anchor5,1,Flirds,0.9999999999999999,0.9999999999999999,0.9999963649956125,687.5755889550783
1B_anchor5_seed1,1B,anchor5,1,Flirds1st,0.9999999999999999,0.9999999999999999,0.999720629938525,224.74077975796536
1B_anchor5_seed1,1B,anchor5,1,GTG,0.9999999999999999,0.9999999999999999,0.9998316091396984,3447.4243051060475
1B_anchor5_seed1,1B,anchor5,1,FedSV,0.49999999999999994,0.39999999999999997,0.6718157698149892,3415.071938920999
1B_anchor5_seed1,1B,anchor5,1,ComFedSV,-0.09999999999999999,0.0,0.059233332083255416,2662.715895290021
1B_anchor5_seed1,1B,anchor5,1,ShapleyFL,0.3,0.19999999999999998,0.40027147397120877,3407.246570304036
1B_anchor5_seed1,1B,anchor5,1,FedIF,-0.6,-0.39999999999999997,-0.8914418951403712,225.67765045096166
1B_anchor5_seed1,1B,anchor5,1,Banzhaf,0.9999999999999999,0.9999999999999999,0.9999999939744644,3422.3047577540856
1B_anchor5_seed1,1B,anchor5,1,loss-heur,0.9999999999999999,0.9999999999999999,0.9999161460625973,1060.2309590769
1B_anchor5_seed2,1B,anchor5,2,(a)oracle,0.8999999999999998,0.7999999999999999,0.9799166987747486,30543.015010729898
1B_anchor5_seed2,1B,anchor5,2,Flirds,0.9999999999999999,0.9999999999999999,0.9999999649224843,708.4342294048984
1B_anchor5_seed2,1B,anchor5,2,Flirds1st,0.9999999999999999,0.9999999999999999,0.999989242491315,232.0329208150506
1B_anchor5_seed2,1B,anchor5,2,GTG,0.9999999999999999,0.9999999999999999,0.999913441016611,3559.3923280979507
1B_anchor5_seed2,1B,anchor5,2,FedSV,0.8999999999999998,0.7999999999999999,0.9535313693833165,3580.9366610250436
1B_anchor5_seed2,1B,anchor5,2,ComFedSV,0.7,0.6,0.8143291049076821,2750.539631231921
1B_anchor5_seed2,1B,anchor5,2,ShapleyFL,0.8999999999999998,0.7999999999999999,0.9726196826721839,3521.1031763767824
1B_anchor5_seed2,1B,anchor5,2,FedIF,0.09999999999999999,0.0,0.0643203134302028,232.9454531490337
1B_anchor5_seed2,1B,anchor5,2,Banzhaf,0.9999999999999999,0.9999999999999999,0.9999999877012482,3535.219686727971
1B_anchor5_seed2,1B,anchor5,2,loss-heur,0.9999999999999999,0.9999999999999999,0.9999952651850473,1096.1615646148566
3B_std20_seed0,3B,std20,0,Flirds,1.0,1.0,0.9999994925896442,11446.929504133295
3B_std20_seed0,3B,std20,0,Flirds1st,0.9969924812030074,0.9789473684210527,0.999885051257925,3724.824785390869
3B_std20_seed0,3B,std20,0,GTG,0.9849624060150375,0.9157894736842106,0.9967211808071758,8888.850994053297
3B_std20_seed0,3B,std20,0,FedSV,0.9578947368421054,0.8526315789473685,0.9739976826616278,8893.814848816954
3B_std20_seed0,3B,std20,0,ComFedSV,-0.20902255639097742,-0.1368421052631579,-0.14565154158035035,5564.711212877184
3B_std20_seed0,3B,std20,0,ShapleyFL,0.1789473684210526,0.11578947368421053,0.010189351112148061,7111.383578784298
3B_std20_seed0,3B,std20,0,FedIF,0.2767958074647823,0.16358895993917008,0.30815741895519455,3729.2947400310077
3B_std20_seed0,3B,std20,0,loss-heur,0.9984962406015038,0.9894736842105263,0.9999885271152028,7100.099548292812
3B_std20_seed1,3B,std20,1,Flirds,1.0,1.0,0.9999988499266513,10864.318141495343
3B_std20_seed1,3B,std20,1,Flirds1st,1.0,1.0,0.9999472651406133,3532.21571325697
3B_std20_seed1,3B,std20,1,GTG,0.9969924812030074,0.9789473684210527,0.9967331626669934,8406.876215286087
3B_std20_seed1,3B,std20,1,FedSV,0.9669172932330825,0.8631578947368421,0.9769984776594699,8406.246972870082
3B_std20_seed1,3B,std20,1,ComFedSV,-0.051127819548872175,-0.06315789473684211,-0.05007738009977236,5477.8623005431145
3B_std20_seed1,3B,std20,1,ShapleyFL,0.41804511278195483,0.28421052631578947,0.39931178631160497,6723.280609243084
3B_std20_seed1,3B,std20,1,FedIF,0.393984962406015,0.2631578947368421,0.4239567649611257,3541.137214920018
