dataset,partition,threat,flip_rate,arm,final_acc,delta_acc,gap,recovery,rec_sd,auroc,false_excl_pairs,excl_precision,seeds,n_corrupt
cifar10,dir1,clean,,flirds_gate_v1,0.6278333333333334,-0.010166666666666657,,,,,436.6666666666667,0.0,3,0.0
cifar10,dir1,clean,,flirds_gate_v2,0.5904583333333333,-0.04754166666666663,,,,,4024.6666666666665,0.0,3,0.0
cifar10,dir1,clean,,flirds_gatew_v1,0.6184166666666667,-0.019583333333333286,,,,,325.3333333333333,0.0,3,0.0
cifar10,dir1,clean,,flirds_gatew_v2,0.6204583333333334,-0.017541666666666605,,,,,3136.6666666666665,0.0,3,0.0
cifar10,dir1,clean,,flirds_mult,0.6417083333333333,0.0037083333333333877,,,,,,,3,0.0
cifar10,dir1,clean,,flirds_zgate_v2,0.6384583333333333,0.00045833333333333837,,,,,,,3,0.0
cifar10,dir1,clean,,vanilla,0.638,0.0,,,,,,,3,0.0
cifar10,dir1,free_rider,,flirds_gate_v1,0.6145833333333334,0.027500000000000007,0.03237500000000001,0.8781922090870244,0.39197428223979114,0.9777777777777777,158.66666666666666,0.752720728430774,3,40.0
cifar10,dir1,free_rider,,flirds_gate_v2,0.5985833333333334,0.011499999999999991,0.03237500000000001,0.4036191030084349,0.8710744961476189,0.7222222222222223,1453.6666666666667,0.7362941631023792,3,40.0
cifar10,dir1,free_rider,,flirds_gatew_v1,0.613,0.02591666666666666,0.03237500000000001,0.8289265141084677,0.4134217070025524,0.9888888888888889,107.33333333333333,0.8182988217915949,3,40.0
cifar10,dir1,free_rider,,flirds_gatew_v2,0.6008749999999999,0.013791666666666683,0.03237500000000001,0.45509087815917365,0.2637487465630397,0.7388888888888889,1225.0,0.7671254975986389,3,40.0
cifar10,dir1,free_rider,,flirds_mult,0.5966666666666667,0.009583333333333352,0.03237500000000001,0.29366127807055076,0.04893655964225902,0.38499999999999995,,,3,40.0
cifar10,dir1,free_rider,,flirds_zgate_v2,0.584375,-0.0027083333333333126,0.03237500000000001,-0.09752824858756994,0.16677811257663974,0.5666666666666667,,,3,40.0
cifar10,dir1,free_rider,,oracle_excl,0.6194583333333333,0.03237500000000001,0.03237500000000001,1.0,0.0,,,,3,40.0
cifar10,dir1,free_rider,,random_excl,0.5840416666666667,-0.003041666666666646,0.03237500000000001,-0.045215741663896636,0.5460568552067401,,,,3,40.0
cifar10,dir1,free_rider,,vanilla,0.5870833333333333,0.0,0.03237500000000001,0.0,0.0,,,,3,40.0
cifar10,dir1,frrand,,flirds_gate_v1,0.5953333333333334,0.007750000000000035,0.03187499999999999,0.2326656495994197,0.14883078785264972,0.8436111111111111,275.3333333333333,0.47656378338261524,3,40.0
cifar10,dir1,frrand,,flirds_gate_v2,0.5894583333333333,0.00187499999999996,0.03187499999999999,0.06303390706580184,0.20653109528464667,0.54875,2371.3333333333335,0.5462900445925004,3,40.0
cifar10,dir1,frrand,,flirds_gatew_v1,0.6120833333333334,0.024500000000000004,0.03187499999999999,0.8249146427827294,0.5376036516012607,0.9944444444444445,108.0,0.69671214586113,3,40.0
cifar10,dir1,frrand,,flirds_gatew_v2,0.604,0.016416666666666635,0.03187499999999999,0.5677755556051388,0.4194858974117078,0.7893055555555556,1115.6666666666667,0.7253676399139536,3,40.0
cifar10,dir1,frrand,,flirds_mult,0.5965833333333334,0.008999999999999972,0.03187499999999999,0.2745230163750612,0.05878028956533371,0.39305555555555555,,,3,40.0
cifar10,dir1,frrand,,flirds_zgate_v2,0.58575,-0.0018333333333333164,0.03187499999999999,-0.10059570203798891,0.3243868752011751,0.5786111111111111,,,3,40.0
cifar10,dir1,frrand,,oracle_excl,0.6194583333333333,0.03187499999999999,0.03187499999999999,1.0,0.0,,,,3,40.0
cifar10,dir1,frrand,,random_excl,0.5839166666666666,-0.00366666666666667,0.03187499999999999,-0.06658987065183812,0.4540323888954832,,,,3,40.0
cifar10,dir1,frrand,,vanilla,0.5875833333333333,0.0,0.03187499999999999,0.0,0.0,,,,3,40.0
cifar10,dir1,grad_noise,,flirds_gate_v1,0.45966666666666667,0.215,0.3747916666666667,0.579748917266807,0.3963715741397208,0.9674999999999999,211.66666666666666,0.6854519117837681,3,40.0
cifar10,dir1,grad_noise,,flirds_gate_v2,0.572125,0.32745833333333335,0.3747916666666667,0.8743627165664458,0.07245680083488851,0.9938888888888888,1383.0,0.7458516713048492,3,40.0
