regime,threat,nr,seed,arm,source,policy,timing,final_val_loss,delta,recovery,gsm8k_em,delta_em,recovery_em,rounds_to_target,gate_precision,gate_recall,false_excl_pairs,kept,skipped
gsm50k5,clean,0.7,0,flirds_gate_v2,flirds,P1,online,0.6019015312194824,0.00028634071350097656,,0.3672922252010724,-0.009830205540661274,,194.0,0.0,,140.0,,
gsm50k5,clean,0.7,0,observer,,,,0.6021878719329834,0.0,,0.3771224307417337,0.0,,200.0,,,,,
gsm50k5,clean,0.7,0,t2_sign_fedif,fedif,P1,retrain,0.6021878719329834,0.0,,0.3771224307417337,0.0,,,,,,50.0,equals_vanilla
gsm50k5,clean,0.7,0,t2_sign_flirds,flirds,P1,retrain,0.6021878719329834,0.0,,0.3771224307417337,0.0,,,,,,50.0,equals_vanilla
gsm50k5,clean,0.7,0,t2_sign_flirds1st,flirds1st,P1,retrain,0.6021878719329834,0.0,,0.3771224307417337,0.0,,,,,,50.0,equals_vanilla
gsm50k5,clean,0.7,0,t2_sign_lossheur,lossheur,P1,retrain,0.6021878719329834,0.0,,0.3771224307417337,0.0,,,,,,50.0,equals_vanilla
gsm50k5,frzero,0.7,0,flirds_gate_v2,flirds,P1,online,0.6026270389556885,0.0076615214347839355,1.0045641045680123,0.3646112600536193,0.00446827524575516,0.5000000000000031,122.0,0.958110992529349,0.945,157.0,,
gsm50k5,frzero,0.7,0,observer,,,,0.6102885603904724,0.0,0.0,0.36014298480786416,0.0,0.0,200.0,,,,,
gsm50k5,frzero,0.7,0,oracle_excl,,,,0.6026618480682373,0.007626712322235107,1.0,0.36907953529937443,0.008936550491510264,1.0,123.0,,,,,
gsm50k5,frzero,0.7,0,random_excl,,,,0.6091704368591309,0.0011181235313415527,0.14660622875229573,0.3574620196604111,-0.002680965147453085,-0.3000000000000006,189.0,,,,,
gsm50k5,frzero,0.7,0,t2_random_k30,,,,0.6127822995185852,-0.002493739128112793,-0.32697432691180495,0.35656836461126007,-0.0035746201966040947,-0.39999999999999875,,,,,30.0,
gsm50k5,frzero,0.7,0,t2_sign_fedif,fedif,P1,retrain,0.6026618480682373,0.007626712322235107,1.0,0.36907953529937443,0.008936550491510264,1.0,,,,,30.0,
gsm50k5,frzero,0.7,0,t2_sign_flirds,flirds,P1,retrain,0.6026618480682373,0.007626712322235107,1.0,0.36907953529937443,0.008936550491510264,1.0,,,,,30.0,
gsm50k5,frzero,0.7,0,t2_sign_flirds1st,flirds1st,P1,retrain,0.6026618480682373,0.007626712322235107,1.0,0.36907953529937443,0.008936550491510264,1.0,,,,,30.0,
gsm50k5,frzero,0.7,0,t2_sign_lossheur,lossheur,P1,retrain,0.6026618480682373,0.007626712322235107,1.0,0.36907953529937443,0.008936550491510264,1.0,,,,,30.0,
gsm50k5,gnoise,0.7,0,flirds_gate_v2,flirds,P1,online,0.6020240783691406,0.0003299117088317871,-10.623800383877159,0.3699731903485255,-0.00625558534405718,2.3333333333333264,193.0,0.24285714285714285,0.008947368421052631,106.0,,
gsm50k5,gnoise,0.7,0,observer,,,,0.6023539900779724,0.0,-0.0,0.3762287756925827,0.0,-0.0,200.0,,,,,
gsm50k5,gnoise,0.7,0,oracle_excl,,,,0.6023850440979004,-3.1054019927978516e-05,1.0,0.3735478105451296,-0.002680965147453085,1.0,,,,,,
gsm50k5,gnoise,0.7,0,random_excl,,,,0.6021922826766968,0.00016170740127563477,-5.207293666026872,0.3699731903485255,-0.00625558534405718,2.3333333333333264,199.0,,,,,
gsm50k5,gnoise,0.7,0,t2_sign_fedif,fedif,P1,retrain,0.6023539900779724,0.0,-0.0,0.3762287756925827,0.0,-0.0,,,,,50.0,equals_vanilla
gsm50k5,gnoise,0.7,0,t2_sign_flirds,flirds,P1,retrain,0.6023539900779724,0.0,-0.0,0.3762287756925827,0.0,-0.0,,,,,50.0,equals_vanilla
gsm50k5,gnoise,0.7,0,t2_sign_flirds1st,flirds1st,P1,retrain,0.6023539900779724,0.0,-0.0,0.3762287756925827,0.0,-0.0,,,,,50.0,equals_vanilla
gsm50k5,gnoise,0.7,0,t2_sign_lossheur,lossheur,P1,retrain,0.6023539900779724,0.0,-0.0,0.3762287756925827,0.0,-0.0,,,,,50.0,equals_vanilla
gsm50k5,noisy,0.7,0,flirds_gate_v2,flirds,P1,online,0.604167103767395,0.004656076431274414,0.7093973627810672,0.3529937444146559,0.01876675603217154,0.5249999999999987,146.0,0.78125,0.05263157894736842,56.0,,
gsm50k5,noisy,0.7,0,observer,,,,0.6088231801986694,0.0,0.0,0.3342269883824844,0.0,0.0,200.0,,,,,
gsm50k5,noisy,0.7,0,oracle_excl,,,,0.6022597551345825,0.006563425064086914,1.0,0.3699731903485255,0.03574620196604111,1.0,131.0,,,,,
gsm50k5,noisy,0.7,0,random_excl,,,,0.6078638434410095,0.0009593367576599121,0.1461640451887101,0.32529043789097406,-0.00893655049151032,-0.25000000000000117,197.0,,,,,
gsm50k5,noisy,0.7,0,t2_random_k37,,,,0.6148808598518372,-0.006057679653167725,-0.9229448944749173,0.3109919571045576,-0.023235031277926754,-0.6500000000000008,,,,,37.0,
gsm50k5,noisy,0.7,0,t2_sign_fedif,fedif,P1,retrain,0.6030221581459045,0.005801022052764893,0.8838406771041447,0.34316353887399464,0.008936550491510264,0.2499999999999996,,,,,34.0,
gsm50k5,noisy,0.7,0,t2_sign_flirds,flirds,P1,retrain,0.6046182513237,0.004204928874969482,0.6406607577463765,0.3583556747095621,0.02412868632707771,0.6749999999999988,,,,,37.0,
gsm50k5,noisy,0.7,0,t2_sign_flirds1st,flirds1st,P1,retrain,0.6050406098365784,0.0037825703620910645,0.5763104362672091,0.34316353887399464,0.008936550491510264,0.2499999999999996,,,,,38.0,
gsm50k5,noisy,0.7,0,t2_sign_lossheur,lossheur,P1,retrain,0.6040038466453552,0.004819333553314209,0.7342711322605253,0.354781054512958,0.020554066130473614,0.5749999999999993,,,,,36.0,
iid5,clean,1.0,0,flirds_gate_v1,flirds,P1v1,online,1.378866195678711,0.0,,,,,10.0,,,0.0,,
iid5,clean,1.0,0,flirds_gate_v2,flirds,P1,online,1.3788660764694214,1.1920928955078125e-07,,,,,10.0,,,0.0,,
iid5,clean,1.0,0,flirds_w,flirds,P3,online,1.3783137798309326,0.0005524158477783203,,,,,10.0,,,,,
iid5,clean,1.0,0,flirds_zgate_v2,flirds,P4,online,1.3788331747055054,3.3020973205566406e-05,,,,,10.0,0.0,,2.0,,
iid5,clean,1.0,0,lossheur_gate_v2,lossheur,P1,online,1.3788660764694214,1.1920928955078125e-07,,,,,10.0,,,0.0,,
iid5,clean,1.0,0,v3_random,,,,1.378866195678711,0.0,,,,,,,,,5.0,
iid5,clean,1.0,0,v3_sign,flirds,P1,retrain,1.378866195678711,0.0,,,,,,,,,5.0,
iid5,clean,1.0,0,v3_z,flirds,P4,retrain,1.378866195678711,0.0,,,,,,,,,5.0,
iid5,clean,1.0,0,vanilla,,,,1.378866195678711,0.0,,,,,10.0,,,0.0,,
iid5,clean,1.0,1,flirds_gate_v1,flirds,P1v1,online,1.280766487121582,0.0,,,,,10.0,,,0.0,,
iid5,clean,1.0,1,flirds_gate_v2,flirds,P1,online,1.280766487121582,0.0,,,,,10.0,,,0.0,,
iid5,clean,1.0,1,flirds_w,flirds,P3,online,1.2801578044891357,0.0006086826324462891,,,,,10.0,,,,,
iid5,clean,1.0,1,flirds_zgate_v2,flirds,P4,online,1.2804049253463745,0.00036156177520751953,,,,,10.0,0.0,,6.0,,
iid5,clean,1.0,1,lossheur_gate_v2,lossheur,P1,online,1.280766487121582,0.0,,,,,10.0,,,0.0,,
iid5,clean,1.0,1,v3_random,,,,1.280766487121582,0.0,,,,,,,,,5.0,
iid5,clean,1.0,1,v3_sign,flirds,P1,retrain,1.280766487121582,0.0,,,,,,,,,5.0,
iid5,clean,1.0,1,v3_z,flirds,P4,retrain,1.280373215675354,0.00039327144622802734,,,,,,,,,4.0,
iid5,clean,1.0,1,vanilla,,,,1.280766487121582,0.0,,,,,10.0,,,0.0,,
iid5,clean,1.0,2,flirds_gate_v1,flirds,P1v1,online,1.2844407558441162,0.0,,,,,10.0,,,0.0,,
iid5,clean,1.0,2,flirds_gate_v2,flirds,P1,online,1.2844407558441162,0.0,,,,,10.0,,,0.0,,
iid5,clean,1.0,2,flirds_w,flirds,P3,online,1.2838683128356934,0.0005724430084228516,,,,,10.0,,,,,
iid5,clean,1.0,2,flirds_zgate_v2,flirds,P4,online,1.2838844060897827,0.0005563497543334961,,,,,10.0,0.0,,12.0,,
iid5,clean,1.0,2,lossheur_gate_v2,lossheur,P1,online,1.2844407558441162,0.0,,,,,10.0,,,0.0,,
