dataset,partition,ttag,timing,policy,acc,rec,dacc,seeds
cifar10,dir1,clean,online,P1,0.6315,,-0.007374999999999983,3
cifar10,dir1,clean,online,P1v1,0.6356666666666667,,-0.0032083333333332944,3
cifar10,dir1,clean,online,P2,0.6187916666666666,,-0.020083333333333342,3
cifar10,dir1,clean,online,P3,0.6425416666666667,,0.003666666666666707,3
cifar10,dir1,clean,online,P4,0.6340833333333333,,-0.0047916666666666385,3
cifar10,dir1,clean,online,P5h,0.6374583333333333,,-0.0014166666666666217,3
cifar10,dir1,clean,online,P5s,0.6370416666666667,,-0.0018333333333332795,3
cifar10,dir1,clean,retrain,P1,0.6277499999999999,,-0.011124999999999977,3
cifar10,dir1,clean,retrain,P2,0.6122916666666667,,-0.026583333333333292,3
cifar10,dir1,clean,retrain,P5h,0.6333333333333333,,-0.00554166666666663,3
cifar10,dir1,clean,retrain,P5s,0.6350416666666666,,-0.0038333333333333184,3
cifar10,dir1,free_rider,online,P1,0.6148333333333333,0.8376741337788678,0.026916666666666627,3
cifar10,dir1,free_rider,online,P1v1,0.6105833333333334,0.7196099071806191,0.02266666666666665,3
cifar10,dir1,free_rider,online,P2,0.605625,0.5866473145768437,0.017708333333333326,3
cifar10,dir1,free_rider,online,P3,0.597875,0.3083442516932076,0.009958333333333291,3
cifar10,dir1,free_rider,online,P4,0.584,-0.14189522203099117,-0.003916666666666679,3
cifar10,dir1,free_rider,online,P5h,0.607,0.6127435267891049,0.019083333333333303,3
cifar10,dir1,free_rider,online,P5s,0.6131666666666667,0.7962138502626616,0.025249999999999995,3
cifar10,dir1,free_rider,retrain,P1,0.6063333333333333,0.5922711037144527,0.018416666666666675,3
cifar10,dir1,free_rider,retrain,P2,0.5838333333333333,-0.13876969967159178,-0.004083333333333365,3
cifar10,dir1,free_rider,retrain,P5h,0.6196666666666667,1.007303292401077,0.03174999999999998,3
cifar10,dir1,free_rider,retrain,P5s,0.6107916666666666,0.7260547490869121,0.02287499999999998,3
cifar10,dir1,frrand,online,P1,0.5894583333333333,0.06303390706580184,0.00187499999999996,3
cifar10,dir1,frrand,online,P1v1,0.5953333333333334,0.2326656495994197,0.007750000000000035,3
cifar10,dir1,frrand,online,P2,0.604,0.5677755556051388,0.016416666666666635,3
cifar10,dir1,frrand,online,P3,0.5965833333333334,0.2745230163750612,0.008999999999999972,3
cifar10,dir1,frrand,online,P4,0.58575,-0.10059570203798891,-0.0018333333333333164,3
cifar10,dir1,grad_noise,online,P1,0.5667916666666667,0.8549542173072734,0.32316666666666666,3
cifar10,dir1,grad_noise,online,P1v1,0.5461666666666667,0.8054466882267791,0.30254166666666665,3
cifar10,dir1,grad_noise,online,P2,0.5874166666666666,0.9115104603608996,0.34379166666666666,3
cifar10,dir1,grad_noise,online,P3,0.43637499999999996,0.5118243956340729,0.19275,3
cifar10,dir1,grad_noise,online,P4,0.341875,0.26192633623424394,0.09825000000000002,3
cifar10,dir1,grad_noise,online,P5h,0.5169166666666666,0.7254194694727119,0.27329166666666665,3
cifar10,dir1,grad_noise,online,P5s,0.5416249999999999,0.792896929165634,0.298,3
cifar10,dir1,grad_noise,retrain,P1,0.6064583333333333,0.9631498686839409,0.36283333333333334,3
