timing,policy,dp,threat,acc,recovery,gap_guarded
online,P1,cifar10/shard,free_rider,0.39758333333333334,-0.8975036291378095,True
online,P1,cifar10/shard,frrand,0.4266666666666667,0.03956522620974645,True
online,P1,cifar10/shard,grad_noise,0.35966666666666663,0.6512771674735244,True
online,P1,cifar10/shard,lf@0.7,0.2518333333333333,-1.0787394377618749,True
online,P1,cifar10/shard,strmain,0.22254166666666667,-1.336667473336685,True
online,P2,cifar10/shard,free_rider,0.46941666666666665,2.220907403441133,True
online,P2,cifar10/shard,frrand,0.41279166666666667,-1.0763633634729928,True
online,P2,cifar10/shard,grad_noise,0.3469166666666667,0.6298765655088839,True
online,P2,cifar10/shard,lf@0.7,0.21241666666666667,-1.4636852180205828,True
online,P2,cifar10/shard,strmain,0.271625,-0.712717474344886,True
online,P1,cifar10/qskew,free_rider,0.6339583333333333,0.25713666969130744,False
online,P1,cifar10/qskew,frrand,0.6329166666666667,0.18650762199149548,False
online,P1,cifar10/qskew,grad_noise,0.6299583333333333,0.9571790034027878,True
online,P1,cifar10/qskew,lf@0.7,0.6027916666666666,0.653750006077609,True
online,P1,cifar10/qskew,strmain,0.5479583333333333,0.39204148138978234,True
online,P2,cifar10/qskew,free_rider,0.633125,0.20099560901193025,False
online,P2,cifar10/qskew,frrand,0.6347083333333333,0.24546775514517713,False
online,P2,cifar10/qskew,grad_noise,0.599125,0.8747530246227431,True
online,P2,cifar10/qskew,lf@0.7,0.585375,0.51331290227176,True
online,P2,cifar10/qskew,strmain,0.595875,0.6725698648421542,True
online,P1,fmnist/iid,free_rider,0.85125,0.8393836534598232,True
online,P1,fmnist/iid,frrand,0.847625,0.7072596009285933,True
online,P1,fmnist/iid,grad_noise,0.8658333333333333,1.1584702925277817,True
online,P1,fmnist/iid,lf@0.7,0.8524583333333333,0.8828172464150071,True
online,P1,fmnist/iid,strmain,0.8538333333333333,0.9168829866483291,True
online,P2,fmnist/iid,free_rider,0.851625,0.8390299584329433,True
online,P2,fmnist/iid,frrand,0.8545416666666666,0.9535191738581569,True
