rundir,threat,seed,arm,label,final_acc,auroc,rounds_to_target
cifar10_dir1_frac1.0_clean_seed0,clean,0,observer,vanilla(observer),0.652625,,60.0
cifar10_dir1_frac1.0_clean_seed0,clean,0,flirds_gate_v2,flirds P1(sign),0.642625,,63.0
cifar10_dir1_frac1.0_clean_seed0,clean,0,flirds_cgate,flirds P5h(cgate),0.648,,59.0
cifar10_dir1_frac1.0_clean_seed0,clean,0,flirds_pweight,flirds P5s(pweight),0.645875,,59.0
cifar10_dir1_frac1.0_clean_seed1,clean,1,observer,vanilla(observer),0.655375,,63.0
cifar10_dir1_frac1.0_clean_seed1,clean,1,flirds_gate_v2,flirds P1(sign),0.64975,,64.0
cifar10_dir1_frac1.0_clean_seed1,clean,1,flirds_cgate,flirds P5h(cgate),0.656,,64.0
cifar10_dir1_frac1.0_clean_seed1,clean,1,flirds_pweight,flirds P5s(pweight),0.650125,,62.0
cifar10_dir1_frac1.0_clean_seed2,clean,2,observer,vanilla(observer),0.65,,62.0
cifar10_dir1_frac1.0_clean_seed2,clean,2,flirds_gate_v2,flirds P1(sign),0.639625,,66.0
cifar10_dir1_frac1.0_clean_seed2,clean,2,flirds_cgate,flirds P5h(cgate),0.641375,,63.0
cifar10_dir1_frac1.0_clean_seed2,clean,2,flirds_pweight,flirds P5s(pweight),0.6425,,62.0
cifar10_dir1_frac1.0_free-rider_anch_seed0,free_rider,0,oracle_excl,oracle_excl(anchor),0.631875,,64.0
cifar10_dir1_frac1.0_free-rider_anch_seed0,free_rider,0,random_excl,random_excl(ctrl),0.601625,,112.0
cifar10_dir1_frac1.0_free-rider_anch_seed1,free_rider,1,oracle_excl,oracle_excl(anchor),0.636625,,66.0
cifar10_dir1_frac1.0_free-rider_anch_seed1,free_rider,1,random_excl,random_excl(ctrl),0.598625,,118.0
cifar10_dir1_frac1.0_free-rider_anch_seed2,free_rider,2,oracle_excl,oracle_excl(anchor),0.633125,,68.0
cifar10_dir1_frac1.0_free-rider_anch_seed2,free_rider,2,random_excl,random_excl(ctrl),0.585625,,
